"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",21,21,10,15,1,9,2,15,9,23,15
"2",7,22,16,9,16,21,5,13,20,13,17
"3",22,2,24,14,7,24,20,9,13,12,24
"4",23,3,14,4,12,11,6,22,18,21,3
"5",16,5,8,16,18,5,11,24,15,9,16
"6",5,24,2,6,6,3,13,12,11,10,1
"7",6,1,5,22,22,7,3,7,25,15,8
"8",20,25,20,23,23,19,12,21,1,18,21
"9",9,17,9,2,4,23,19,23,4,16,10
"10",8,6,22,3,19,15,15,6,10,24,14
"11",25,23,7,20,10,16,18,4,19,3,11
"12",3,19,25,17,14,1,25,25,23,25,12
"13",10,8,12,18,25,25,14,16,21,4,2
"14",15,20,17,12,15,8,16,8,2,5,5
"15",2,10,18,13,2,18,10,2,16,17,6
"16",14,9,3,10,8,13,17,18,24,19,20
"17",24,11,19,8,21,4,21,17,7,14,9
"18",13,18,11,5,24,10,24,3,17,11,22
"19",18,13,21,1,3,6,9,10,22,2,19
"20",11,12,13,19,11,2,8,5,5,20,23
"21",1,15,6,11,20,17,7,20,8,1,25
"22",19,7,1,7,13,22,1,1,3,7,13
"23",12,16,23,21,9,14,4,19,12,8,7
"24",4,4,15,24,5,12,23,14,6,6,18
"25",17,14,4,25,17,20,22,11,14,22,4
