"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",26,1,13,1,26,1,26,1,14,12,9,1,14,1,1,10,1,13,14,14,12,12
"2",9,23,23,6,8,11,4,23,7,6,10,17,5,5,22,11,8,10,22,20,14,20
"3",25,21,25,18,13,21,7,7,10,22,23,3,13,25,21,17,9,17,12,24,4,10
"4",1,5,6,15,9,6,9,2,19,5,17,10,11,22,19,4,19,9,8,19,19,6
"5",24,18,2,2,4,15,6,11,26,10,1,9,15,19,9,13,15,14,26,1,25,19
"6",15,15,14,26,2,3,13,22,1,26,26,15,4,18,2,14,5,15,5,15,23,7
"7",11,26,9,24,22,17,3,14,13,8,6,14,26,21,26,12,26,19,6,9,10,2
"8",7,12,3,3,23,23,17,15,9,18,20,22,19,15,18,7,4,12,20,23,21,3
"9",16,22,15,7,25,25,14,4,25,3,25,24,7,16,16,15,21,6,15,11,9,25
"10",23,25,19,14,14,5,15,18,16,9,19,21,25,2,15,26,22,20,25,16,24,9
"11",13,14,20,16,1,26,25,21,8,1,12,7,24,24,13,1,14,4,19,2,11,8
"12",3,24,12,25,5,20,20,10,12,14,16,8,6,11,4,25,25,1,17,25,17,16
"13",18,13,7,19,7,16,21,3,24,15,11,19,1,12,24,2,6,24,24,12,2,11
"14",8,16,4,8,16,14,19,19,5,7,24,4,8,4,6,6,20,21,9,6,3,13
"15",22,20,11,20,18,10,12,20,23,20,15,6,22,7,20,8,3,3,10,7,18,23
"16",2,6,18,12,19,22,10,24,22,19,5,2,3,10,8,16,16,18,23,10,16,4
"17",6,7,17,9,3,12,23,16,21,11,21,5,20,17,25,23,10,16,2,17,8,24
"18",21,3,5,17,17,7,22,17,6,21,3,13,2,20,14,18,23,11,18,21,7,22
"19",4,8,22,22,21,8,16,5,3,4,8,11,17,13,17,19,7,22,16,5,26,17
"20",12,19,24,13,20,2,18,12,20,17,7,23,12,23,5,3,13,25,4,26,15,21
"21",20,10,1,23,24,19,11,25,18,2,13,18,16,6,7,22,12,8,3,22,5,14
"22",14,4,10,10,12,18,1,26,11,13,18,20,10,26,11,21,2,26,13,3,22,26
"23",5,17,8,11,6,4,8,8,4,16,4,25,21,3,12,20,11,2,11,13,6,1
"24",10,2,21,21,10,9,2,13,17,24,22,26,18,14,3,9,18,7,21,8,1,15
"25",17,11,26,4,15,13,24,9,15,25,2,16,9,8,23,24,17,5,7,4,20,5
"26",19,9,16,5,11,24,5,6,2,23,14,12,23,9,10,5,24,23,1,18,13,18
