"","V1","V2","V3","V4","V5"
"1",22,26,23,21,21
"2",16,10,14,20,1
"3",23,12,5,16,26
"4",13,20,24,12,10
"5",6,13,26,25,13
"6",14,7,10,27,19
"7",4,8,18,17,8
"8",5,27,8,13,16
"9",25,6,27,14,4
"10",19,22,19,26,7
"11",1,17,12,23,24
"12",24,24,13,5,12
"13",26,14,20,8,18
"14",21,16,9,11,5
"15",18,19,1,18,14
"16",27,3,7,22,11
"17",10,25,3,24,3
"18",8,11,4,4,9
"19",11,15,15,15,17
"20",9,2,21,19,23
"21",20,4,17,1,15
"22",17,9,25,6,25
"23",3,5,2,10,20
"24",15,21,6,2,22
"25",7,23,16,9,27
"26",12,1,11,7,6
"27",2,18,22,3,2
