"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",18,4,4,6,21,9,13,19,23,10,9,8,10,17,2,21,9,2,7,26
"2",7,26,13,22,24,27,8,5,20,14,19,10,12,14,28,22,24,24,3,13
"3",29,10,17,24,18,20,21,21,7,8,3,16,22,12,18,27,28,4,6,10
"4",12,18,12,10,20,19,22,8,26,27,11,6,26,27,4,28,18,13,29,8
"5",2,15,25,5,19,5,6,20,8,28,26,7,16,13,14,16,27,20,25,29
"6",1,29,1,17,7,17,27,1,15,11,15,17,20,1,3,15,29,10,17,28
"7",3,6,15,3,8,21,17,3,29,7,27,24,4,15,13,24,6,19,16,7
"8",26,19,27,16,23,2,19,2,17,23,4,26,28,16,25,20,10,18,13,25
"9",21,23,9,4,17,3,25,24,27,16,17,25,17,5,11,6,21,22,8,12
"10",9,27,2,1,29,15,18,16,6,22,1,18,1,23,16,12,15,27,5,1
"11",8,28,23,26,3,11,5,26,25,15,10,28,24,19,15,18,13,3,24,11
"12",24,2,5,13,2,22,7,29,13,24,20,5,19,6,19,23,14,16,11,3
"13",22,22,26,2,13,18,11,6,2,9,8,9,13,7,26,8,12,8,22,6
"14",28,25,16,19,27,7,9,17,21,5,24,13,21,24,7,7,4,15,18,4
"15",11,16,14,20,11,16,4,23,28,26,5,15,6,2,20,3,3,14,2,27
"16",13,3,28,15,22,26,12,28,12,12,7,22,5,28,8,5,26,17,21,14
"17",14,9,7,27,1,6,15,4,9,18,2,11,18,11,6,2,7,23,28,16
"18",15,21,29,14,5,29,16,15,19,2,28,2,29,10,12,1,19,1,4,19
"19",19,1,24,7,12,12,29,9,11,13,23,14,25,29,21,17,2,28,1,15
"20",23,17,6,21,10,10,10,7,3,25,25,23,8,26,9,19,23,5,10,17
"21",27,13,8,9,6,23,1,14,22,6,6,21,15,22,22,14,20,25,27,21
"22",6,11,18,8,25,24,3,12,4,19,18,27,23,8,5,10,8,9,9,20
"23",16,12,3,29,16,28,28,18,16,29,29,29,14,18,29,11,1,11,20,9
"24",25,5,21,28,28,14,20,10,24,17,21,3,3,4,17,13,22,12,23,22
"25",5,8,19,11,4,4,24,13,18,21,12,12,9,21,24,4,25,6,12,5
"26",20,24,20,18,9,25,23,22,5,20,13,4,11,20,10,26,5,26,19,23
"27",10,20,11,12,26,8,26,27,10,4,22,19,7,9,23,25,11,7,26,18
"28",17,14,22,25,15,1,2,11,14,1,14,20,2,3,1,29,16,29,15,2
"29",4,7,10,23,14,13,14,25,1,3,16,1,27,25,27,9,17,21,14,24
