"","V1","V2","V3","V4","V5","V6"
"1",10,26,6,3,14,20
"2",17,4,23,26,20,21
"3",4,14,1,27,8,23
"4",13,10,4,24,27,12
"5",14,21,26,8,12,16
"6",11,6,25,20,4,9
"7",3,17,10,2,5,8
"8",21,9,14,7,3,22
"9",1,8,28,5,18,28
"10",9,2,11,17,11,26
"11",15,16,16,10,24,24
"12",26,19,2,6,19,10
"13",7,18,20,23,1,19
"14",18,12,21,4,10,3
"15",28,7,12,22,13,6
"16",23,27,17,25,9,11
"17",20,22,7,21,22,27
"18",25,1,19,1,28,17
"19",16,25,3,15,2,4
"20",6,5,8,9,23,2
"21",22,15,27,18,25,5
"22",2,24,13,19,26,15
"23",27,23,24,13,6,25
"24",24,13,9,16,17,18
"25",19,3,5,11,7,14
"26",8,28,22,12,21,7
"27",5,11,18,14,15,13
"28",12,20,15,28,16,1
