"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",10,9,1,25,27,2,10,18,1,3,8,23,6,14,19,13,15
"2",4,24,24,12,10,10,16,16,22,19,25,22,7,26,26,12,12
"3",26,11,2,9,5,15,18,3,14,20,9,20,3,20,6,28,19
"4",11,28,5,5,2,23,7,13,17,14,1,25,28,6,11,18,11
"5",23,23,11,24,4,1,19,1,25,8,26,11,24,16,16,15,22
"6",1,21,14,10,26,5,13,15,10,21,14,3,25,5,17,27,27
"7",24,3,19,7,17,4,5,9,26,16,17,18,10,12,20,24,6
"8",17,10,3,11,23,25,1,17,23,22,23,10,23,15,4,11,2
"9",9,22,17,6,15,22,20,4,3,26,7,8,9,17,15,10,5
"10",15,26,21,27,22,12,23,19,20,17,5,13,11,10,5,22,24
"11",20,16,6,20,8,8,28,22,19,27,13,5,4,7,23,17,7
"12",28,15,28,3,28,17,26,14,28,13,2,1,19,18,24,6,16
"13",16,17,13,2,24,7,27,5,11,2,22,26,14,27,8,19,9
"14",27,20,16,19,12,18,9,25,2,25,28,27,18,13,1,23,14
"15",3,18,8,26,13,16,3,10,13,7,6,14,22,22,27,25,3
"16",2,2,10,16,14,20,25,7,24,9,15,28,5,8,2,8,28
"17",8,7,4,8,16,14,22,24,4,11,24,12,16,2,25,20,20
"18",14,8,15,28,3,28,12,6,12,18,21,2,12,9,28,1,13
"19",19,6,22,22,18,24,21,11,8,23,12,24,26,25,22,16,23
"20",21,5,25,13,9,9,14,8,7,4,4,9,21,4,3,14,10
"21",5,13,20,17,1,3,24,23,5,15,16,17,27,19,7,2,4
"22",13,4,9,1,11,6,11,27,21,24,3,15,17,24,14,4,26
"23",6,12,18,15,7,26,6,20,27,1,11,4,13,28,10,21,21
"24",12,1,26,21,25,21,15,28,15,10,27,7,1,21,13,26,8
"25",18,19,23,4,6,19,2,21,9,6,20,16,2,11,18,9,25
"26",7,14,27,23,20,13,4,2,18,28,19,19,20,3,12,7,17
"27",22,27,7,18,19,11,8,12,6,12,18,6,8,23,9,5,18
"28",25,25,12,14,21,27,17,26,16,5,10,21,15,1,21,3,1
