"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",22,15,21,4,26,12,19,4,23,18,3,8,2,24,6,7,2,7,25,11,16,21,16
"2",15,5,26,12,4,3,8,3,17,7,22,21,13,21,23,11,9,3,6,4,22,18,6
"3",14,16,17,21,29,24,9,9,3,16,8,15,26,18,1,26,16,1,18,1,2,6,5
"4",17,10,6,11,5,23,13,17,28,26,7,25,5,13,18,20,7,18,28,3,18,2,23
"5",26,19,19,9,19,27,23,28,13,27,23,26,12,6,2,14,15,13,17,9,26,28,4
"6",23,2,7,10,22,13,27,8,7,11,16,20,23,7,19,23,4,2,16,22,13,24,26
"7",21,1,23,27,3,18,10,25,21,9,10,17,28,2,8,3,18,15,21,17,28,16,24
"8",25,3,9,29,13,28,25,6,19,25,5,13,16,23,12,13,11,20,4,25,1,11,13
"9",11,23,16,5,20,4,15,14,10,22,14,22,24,25,10,4,8,28,5,16,29,1,29
"10",13,6,29,24,18,9,26,23,18,24,21,3,10,20,15,27,20,6,22,12,10,4,28
"11",27,25,13,20,10,5,20,27,4,2,9,18,1,26,24,22,13,11,10,8,9,15,21
"12",24,13,10,23,28,6,2,24,27,15,18,2,20,10,26,15,5,26,13,10,27,9,12
"13",7,11,12,25,8,2,24,11,5,14,17,24,7,11,3,8,27,9,26,23,23,10,14
"14",8,20,22,22,9,21,21,20,24,4,19,23,22,22,14,19,3,24,24,20,5,23,7
"15",5,22,27,18,14,25,4,22,8,17,6,6,11,9,9,18,6,5,8,26,21,20,22
"16",6,17,4,28,21,22,16,7,11,8,28,9,18,27,28,17,19,16,29,7,24,19,27
"17",9,7,20,8,25,16,18,26,12,6,4,12,4,12,20,25,23,23,3,21,25,8,8
"18",28,27,1,3,12,26,12,19,16,1,15,7,19,17,21,5,29,4,19,19,19,5,11
"19",1,9,3,13,1,14,17,29,1,21,29,11,17,14,11,1,1,10,12,15,6,13,1
"20",20,28,14,17,15,15,11,2,9,10,24,1,3,1,13,12,12,25,27,28,11,3,2
"21",10,24,2,26,23,17,6,12,26,23,13,19,6,4,22,10,17,8,2,14,8,25,9
"22",18,18,8,6,27,11,7,18,22,5,26,27,9,19,7,16,25,12,9,27,3,12,25
"23",3,29,24,15,24,29,29,1,29,13,11,28,14,15,16,2,24,27,15,6,12,14,20
"24",29,12,18,19,2,20,1,10,14,20,27,16,8,29,17,29,28,29,11,18,17,29,18
"25",4,21,25,1,7,8,14,5,25,28,25,14,29,8,29,24,14,14,14,24,14,7,15
"26",16,26,5,16,6,7,28,13,20,12,1,4,27,16,4,21,22,19,7,13,20,27,3
"27",2,8,11,2,17,1,5,15,15,3,12,10,15,3,5,28,10,22,23,5,7,26,17
"28",12,4,15,14,16,10,3,21,2,29,2,29,21,28,27,6,21,17,20,29,15,22,10
"29",19,14,28,7,11,19,22,16,6,19,20,5,25,5,25,9,26,21,1,2,4,17,19
