"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",13,11,20,18,1,11,12,16,10,14,16,29,30,1,1,1,30,18,1,1,4,16
"2",10,20,3,9,19,16,22,4,29,11,28,19,27,7,17,20,7,28,2,23,10,18
"3",14,12,7,19,3,17,5,28,20,26,26,22,22,10,25,23,16,8,27,9,27,25
"4",21,14,13,16,29,18,25,9,3,10,10,24,1,20,27,24,19,1,22,28,2,13
"5",16,1,29,30,23,2,1,1,14,5,1,17,14,11,15,17,10,15,23,3,1,21
"6",1,29,9,28,22,23,16,13,16,20,2,30,28,29,24,19,28,14,15,22,18,26
"7",30,17,10,27,15,15,7,14,2,29,18,1,13,9,9,2,8,30,20,29,19,23
"8",3,30,14,2,13,12,20,21,15,6,19,9,2,8,2,30,14,10,26,18,8,28
"9",19,2,23,11,4,6,21,5,4,15,25,8,16,30,22,3,15,12,11,24,24,27
"10",25,25,24,12,5,21,10,29,13,18,4,23,5,6,10,18,11,11,4,27,16,5
"11",8,9,27,23,17,20,11,27,28,16,17,7,20,23,21,29,2,17,21,26,5,2
"12",12,15,1,20,11,26,29,23,5,3,7,21,15,18,3,15,1,19,9,20,30,30
"13",5,4,11,8,27,9,24,25,9,21,11,27,17,4,19,10,9,24,24,14,20,4
"14",15,13,8,5,18,4,3,19,21,28,8,13,4,28,28,5,12,20,5,21,7,10
"15",17,26,19,26,12,13,26,3,18,27,24,26,18,26,5,12,6,3,14,12,6,7
"16",11,23,26,4,24,27,13,10,7,25,15,12,12,2,29,26,4,4,10,10,22,17
"17",26,28,16,13,30,25,19,30,30,30,14,14,19,12,16,6,22,21,12,6,3,29
"18",7,27,22,22,10,29,4,12,6,13,29,20,9,13,23,7,23,25,25,17,11,9
"19",18,21,21,10,25,8,8,26,24,4,23,25,10,25,8,25,26,23,18,19,23,20
"20",20,3,6,7,7,24,9,2,11,22,6,6,23,17,6,27,24,26,17,15,9,15
"21",6,18,12,1,2,1,6,7,22,7,13,15,21,14,13,13,29,2,13,30,21,1
"22",29,24,18,17,8,3,17,18,12,8,9,10,25,27,20,21,5,29,28,7,28,11
"23",2,7,17,14,28,22,2,20,1,1,30,3,26,24,11,14,13,6,6,11,15,14
"24",9,22,2,15,26,14,14,6,27,17,3,4,8,19,4,4,17,13,29,5,25,8
"25",24,5,4,6,9,28,15,15,23,9,20,28,6,22,18,9,3,7,19,4,13,22
"26",23,19,30,21,14,7,30,24,25,12,5,2,24,3,30,8,21,5,16,16,14,19
"27",4,8,25,25,6,10,28,11,26,23,12,16,3,21,12,22,18,27,7,8,17,24
"28",22,6,15,29,16,19,18,8,19,2,21,5,7,5,26,16,25,22,3,13,29,3
"29",27,16,5,24,21,5,23,22,8,19,27,11,11,16,14,28,27,9,8,2,12,6
"30",28,10,28,3,20,30,27,17,17,24,22,18,29,15,7,11,20,16,30,25,26,12
