"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",24,7,11,25,14,19,5,9,20
"2",13,5,21,9,22,11,1,1,1
"3",20,25,24,16,16,24,18,2,24
"4",4,8,12,14,13,4,17,24,4
"5",18,10,3,8,25,7,16,11,22
"6",1,19,2,5,15,25,3,15,8
"7",5,14,26,12,10,15,6,13,23
"8",10,23,22,3,12,8,23,8,10
"9",25,18,1,20,11,10,14,27,27
"10",7,17,20,22,2,23,15,10,3
"11",8,1,14,2,21,21,13,17,26
"12",11,9,25,27,26,27,11,25,12
"13",21,2,27,21,17,2,27,12,7
"14",2,11,17,19,20,16,21,5,14
"15",12,13,15,24,6,6,25,16,25
"16",14,4,6,13,9,26,22,7,18
"17",27,26,16,15,27,12,10,14,6
"18",23,15,10,11,23,22,24,21,9
"19",9,3,4,17,3,9,7,20,11
"20",15,16,19,6,18,3,8,22,19
"21",16,21,5,26,19,14,20,18,2
"22",19,12,8,1,7,17,9,3,5
"23",17,22,18,18,8,20,2,23,15
"24",6,24,7,23,24,5,4,4,17
"25",3,27,9,7,1,18,26,26,21
"26",26,6,23,4,5,13,19,19,16
"27",22,20,13,10,4,1,12,6,13
