"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",5,3,7,4,13,10,3,15,13,6
"2",7,12,1,6,12,5,13,4,18,16
"3",9,9,12,10,1,19,1,16,19,19
"4",1,17,13,9,17,4,7,9,10,1
"5",10,4,3,11,19,1,19,10,3,9
"6",15,15,9,13,9,2,2,1,14,10
"7",11,16,6,1,6,8,8,12,4,17
"8",17,7,10,19,16,9,16,7,12,18
"9",14,18,5,7,2,13,17,5,11,5
"10",3,8,11,2,8,18,15,2,2,4
"11",12,1,15,16,7,6,14,13,17,3
"12",4,14,17,12,10,11,18,14,9,14
"13",13,2,16,8,14,14,5,3,5,15
"14",16,13,18,3,18,16,10,11,16,8
"15",6,10,19,18,3,7,4,6,6,7
"16",19,6,14,5,4,3,11,18,8,12
"17",18,11,2,15,11,12,6,17,1,2
"18",2,5,4,14,5,15,9,8,15,13
"19",8,19,8,17,15,17,12,19,7,11
