"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",8,11,16,26,14,26,19,24,17,1,13,18,21,23,26,24,15,21,16,17,2,15,25
"2",10,4,25,16,8,5,8,13,20,7,1,19,3,11,8,23,7,19,5,24,17,11,19
"3",15,3,10,19,6,12,22,21,19,9,8,5,24,17,24,9,23,12,4,6,18,24,9
"4",9,13,8,18,1,10,9,10,3,25,19,9,25,18,13,20,2,1,18,15,25,20,20
"5",16,23,7,2,3,6,12,8,18,3,9,25,17,4,5,22,18,6,15,10,8,17,7
"6",7,12,5,4,23,15,25,20,13,16,5,17,1,10,11,18,4,17,22,9,4,25,5
"7",21,8,24,8,20,8,16,4,21,17,12,13,5,6,25,12,25,2,19,20,12,23,22
"8",18,10,9,11,15,13,26,2,1,26,11,2,4,26,4,25,17,18,11,1,14,5,15
"9",14,26,19,13,24,11,11,26,12,15,20,1,9,8,19,26,19,26,2,14,26,14,1
"10",2,7,6,22,22,21,20,5,22,14,23,22,14,15,10,19,20,7,8,18,22,6,11
"11",13,1,13,12,26,25,3,18,6,2,26,24,6,13,14,10,16,5,26,2,13,19,18
"12",3,5,2,7,7,2,6,14,14,24,24,14,11,25,21,7,22,22,17,12,11,10,6
"13",12,14,18,9,4,20,24,6,5,4,6,12,10,16,20,2,8,3,7,19,7,8,2
"14",23,9,21,21,18,9,7,3,8,11,7,23,20,24,12,4,11,16,24,11,21,16,3
"15",17,2,4,1,19,18,15,15,11,5,14,10,22,2,15,5,9,25,13,26,24,1,17
"16",1,15,26,14,12,17,13,19,7,22,10,26,26,1,9,8,26,11,3,13,5,7,21
"17",5,19,17,23,13,4,17,16,10,19,2,8,12,3,23,21,12,4,25,3,19,3,12
"18",19,20,15,20,11,24,18,9,25,23,18,20,2,5,17,6,3,23,9,8,15,18,8
"19",22,17,1,25,10,14,2,7,2,10,25,15,16,7,22,16,14,15,1,25,3,26,14
"20",6,24,12,15,16,19,10,11,26,13,3,6,13,19,2,3,21,24,23,22,6,22,16
"21",20,6,14,17,9,23,5,25,15,20,16,3,19,9,3,15,6,8,20,21,9,4,4
"22",4,21,20,10,21,1,1,1,23,6,15,4,23,14,16,13,1,14,14,5,1,9,13
"23",24,18,22,5,5,22,23,12,9,8,21,7,15,12,7,17,24,20,21,7,20,12,24
"24",26,16,3,24,25,7,14,17,16,12,17,11,8,20,1,1,5,9,6,4,10,13,26
"25",25,22,11,6,2,16,4,22,24,18,4,21,7,22,18,14,13,13,12,16,23,2,23
"26",11,25,23,3,17,3,21,23,4,21,22,16,18,21,6,11,10,10,10,23,16,21,10
