"","V1","V2","V3","V4","V5"
"1",28,17,27,16,27
"2",13,26,14,17,12
"3",8,28,22,25,29
"4",2,23,28,19,5
"5",11,2,25,3,24
"6",22,15,2,24,22
"7",1,8,15,10,26
"8",10,9,1,15,6
"9",14,7,29,27,20
"10",4,3,11,26,9
"11",25,11,12,18,18
"12",17,22,21,9,21
"13",23,5,23,12,2
"14",15,4,5,20,28
"15",24,29,30,6,16
"16",21,20,24,23,10
"17",19,1,18,14,15
"18",27,6,7,4,13
"19",26,25,16,28,25
"20",9,19,13,5,1
"21",12,18,6,29,14
"22",18,30,9,22,3
"23",16,16,17,2,7
"24",5,14,19,21,17
"25",30,10,20,30,4
"26",29,24,4,11,8
"27",7,12,26,8,11
"28",20,13,10,7,30
"29",3,27,3,1,19
"30",6,21,8,13,23
