"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",19,3,18,15,19,18,11,13,16,1,3,20,17,6,15,20,5,12,7,19,7
"2",8,7,10,12,11,12,18,22,7,22,5,16,23,19,7,22,10,22,1,1,9
"3",7,12,14,21,7,10,6,8,19,6,4,2,19,7,5,5,7,16,14,4,19
"4",2,2,16,2,14,16,15,4,2,14,18,4,20,8,6,14,19,7,5,14,14
"5",11,9,21,14,5,9,19,19,15,17,1,1,8,9,21,13,23,2,19,15,8
"6",1,19,23,11,23,6,12,1,11,18,15,14,18,5,16,9,8,23,16,9,1
"7",12,22,19,9,6,22,8,10,23,9,23,8,13,16,14,15,18,20,2,3,5
"8",15,8,5,7,20,15,7,21,4,4,20,3,11,2,23,1,11,19,13,12,10
"9",23,18,12,23,18,11,9,20,12,10,19,21,14,12,9,23,20,1,23,7,21
"10",9,17,8,22,3,5,16,2,10,2,17,9,9,15,22,21,4,13,4,16,15
"11",6,13,20,18,12,17,1,18,9,12,16,11,12,23,2,2,1,4,9,22,3
"12",13,11,9,1,16,8,14,7,17,3,13,22,3,20,4,11,22,21,15,21,4
"13",5,15,1,17,15,13,23,14,21,23,22,12,1,4,13,16,16,17,11,18,20
"14",18,4,13,4,1,2,3,17,14,16,21,10,22,21,12,12,9,15,21,20,17
"15",14,20,11,10,22,1,10,12,6,21,2,6,7,11,1,7,15,9,6,23,22
"16",22,6,3,16,17,3,21,6,18,11,14,7,16,18,18,6,13,3,8,2,11
"17",17,5,17,19,10,19,4,3,8,20,11,18,5,14,20,8,21,18,10,8,18
"18",4,21,4,8,9,20,13,16,13,5,7,17,21,17,19,4,17,6,17,17,16
"19",20,16,7,20,4,21,20,9,3,15,8,15,15,1,3,10,14,14,22,13,6
"20",10,10,2,3,21,23,5,5,22,19,6,13,10,13,8,19,3,5,20,10,12
"21",21,14,22,5,13,14,17,11,5,8,9,5,2,22,17,18,6,11,18,6,23
"22",3,1,6,13,2,4,2,15,1,7,10,23,6,10,11,17,12,8,12,5,2
"23",16,23,15,6,8,7,22,23,20,13,12,19,4,3,10,3,2,10,3,11,13
