"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",11,17,20,9,15,17,14,12,9,5,2
"2",10,4,3,16,1,19,20,18,14,3,10
"3",12,16,1,15,13,12,1,1,20,10,20
"4",7,6,11,1,20,16,5,7,4,1,18
"5",16,1,13,10,16,9,11,17,13,20,17
"6",4,14,7,8,4,4,12,3,11,4,16
"7",6,19,4,12,3,10,6,11,5,19,8
"8",17,12,15,17,8,8,4,8,12,2,5
"9",3,13,8,19,19,14,10,15,16,12,4
"10",8,10,19,18,6,6,15,16,1,14,19
"11",18,8,6,14,11,18,13,9,6,13,15
"12",2,15,16,4,10,20,3,19,10,17,13
"13",20,20,10,2,7,11,17,13,18,7,14
"14",15,9,18,6,2,15,9,4,19,15,9
"15",19,11,2,5,17,5,8,20,2,6,7
"16",14,18,12,20,18,2,19,5,8,16,11
"17",9,7,5,3,12,7,16,6,15,18,3
"18",5,5,17,13,14,3,7,10,17,8,12
"19",1,2,14,11,9,13,18,2,3,9,6
"20",13,3,9,7,5,1,2,14,7,11,1
