"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",1,10,28,22,1,33,23,33,17,20,33,1,32,18,1,7,17,17,18,18,17,17,1,12,2,18,1,7,1,17,18,1
"2",8,9,21,13,10,19,2,14,27,25,5,31,29,6,27,27,22,9,28,6,23,9,25,7,5,12,26,21,15,7,20,6
"3",25,3,6,9,31,16,4,26,8,16,14,28,10,19,33,8,29,29,8,3,20,25,10,20,6,19,28,22,3,18,13,28
"4",7,1,27,25,15,14,14,13,33,22,23,23,3,23,24,18,5,28,27,30,12,26,20,4,20,11,10,4,6,22,3,29
"5",13,4,8,2,3,2,18,23,14,13,31,32,17,20,13,24,9,23,32,20,1,19,16,33,7,3,13,30,19,5,9,10
"6",30,24,31,26,11,30,19,27,25,27,9,25,6,10,9,14,24,14,19,4,9,27,4,29,15,5,20,24,26,10,2,14
"7",29,7,16,29,8,11,33,3,19,31,17,7,7,29,28,21,13,18,10,10,22,14,19,23,10,23,12,27,33,33,6,3
"8",33,25,23,17,28,9,22,28,2,28,32,15,19,24,20,22,23,20,12,31,10,8,17,1,8,29,33,17,16,6,32,33
"9",15,13,7,23,30,21,10,5,12,30,25,22,24,17,2,31,2,4,23,25,15,5,7,11,18,21,24,26,32,4,5,22
"10",11,15,20,6,6,13,24,30,4,29,7,14,9,9,10,2,4,30,16,11,25,7,9,10,21,7,6,33,18,26,23,24
"11",6,20,1,27,22,20,15,12,18,10,4,33,31,22,17,1,28,15,11,14,32,6,12,32,13,30,8,16,12,30,1,26
"12",14,32,18,4,20,4,20,2,13,21,24,4,23,4,15,3,26,5,3,7,13,32,18,15,19,6,32,18,7,21,4,4
"13",4,22,11,5,25,28,9,4,1,23,27,26,16,25,29,19,21,21,17,8,19,3,30,26,30,2,4,6,27,19,17,13
"14",20,31,33,18,12,1,1,1,7,8,10,30,33,31,5,33,18,26,15,19,11,15,27,16,22,15,14,23,23,20,30,27
"15",17,33,3,32,5,29,16,18,16,24,18,9,13,2,32,32,30,33,9,17,16,22,33,5,14,33,17,3,17,1,25,19
"16",12,26,5,14,9,8,27,20,30,26,8,21,22,28,12,29,19,22,25,21,26,31,2,21,29,24,30,8,4,31,11,18
"17",26,17,13,12,23,31,6,6,31,6,29,18,8,8,14,30,15,10,13,15,5,29,13,2,4,16,5,29,5,32,26,17
"18",24,16,4,30,24,27,26,22,28,33,26,3,28,32,22,6,8,27,29,5,4,12,15,18,31,13,19,20,14,16,29,20
"19",21,29,30,7,14,6,12,15,9,1,22,5,2,27,26,13,3,13,20,16,27,1,6,28,1,14,23,15,10,2,22,16
"20",9,30,14,19,33,32,21,24,5,12,12,12,1,16,23,16,14,3,33,13,31,11,28,6,28,28,15,25,2,15,7,11
"21",28,8,10,3,19,17,25,19,23,7,1,17,4,33,3,4,31,16,14,23,14,2,26,3,26,17,25,2,21,12,8,8
"22",23,5,32,8,13,26,13,25,29,17,30,8,21,13,7,26,12,11,4,1,28,4,21,14,24,32,16,12,24,28,12,30
"23",18,2,29,10,26,23,29,11,10,32,11,29,15,1,11,17,16,8,6,28,3,13,8,27,23,26,11,5,9,13,24,7
"24",10,19,9,31,16,24,5,32,6,5,6,13,20,30,25,20,10,6,7,33,7,24,3,13,11,9,21,9,20,25,14,5
"25",2,28,17,16,18,18,31,29,32,2,21,24,27,3,16,10,1,32,5,24,18,16,23,31,3,31,22,28,28,23,16,15
"26",27,27,12,1,2,7,3,17,24,18,15,10,30,11,21,15,25,2,31,29,8,10,11,24,16,20,3,1,30,24,19,25
"27",16,11,2,21,7,22,30,8,3,9,28,16,5,7,18,9,20,12,30,22,29,23,22,22,12,4,31,11,31,14,28,31
"28",31,23,15,15,32,25,11,10,21,15,3,2,11,15,6,23,7,31,26,26,21,18,31,30,17,8,29,14,11,27,31,2
"29",3,18,22,24,4,10,7,16,20,14,20,19,14,26,4,5,11,7,1,9,6,28,29,25,27,27,27,32,13,9,21,32
"30",22,12,24,20,29,5,17,9,26,19,13,20,26,21,30,11,32,19,2,27,30,21,5,8,32,1,18,31,22,29,27,9
"31",19,21,26,11,21,12,28,7,15,11,2,11,25,12,31,12,6,25,21,2,2,30,32,9,9,25,7,13,29,8,10,21
"32",32,14,25,33,27,3,32,31,22,4,19,27,18,14,19,28,33,1,22,12,24,20,24,19,25,10,9,10,8,3,15,23
"33",5,6,19,28,17,15,8,21,11,3,16,6,12,5,8,25,27,24,24,32,33,33,14,17,33,22,2,19,25,11,33,12
