"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",18,1,2,15,7,16,15,16,2,8,6,1,17,27,27,16,16,1
"2",25,26,13,9,27,6,27,19,19,1,2,13,15,14,10,1,12,2
"3",10,15,22,5,19,17,13,7,22,12,8,5,25,7,20,6,4,4
"4",9,20,27,12,8,27,22,26,6,15,18,14,3,25,22,2,8,10
"5",3,25,9,18,9,7,11,10,4,20,13,24,23,3,6,9,11,8
"6",4,22,12,20,13,24,26,8,20,4,14,8,24,20,25,21,20,19
"7",19,21,21,16,23,19,17,9,9,25,10,21,8,18,12,24,25,5
"8",6,8,15,1,6,20,2,2,5,2,3,23,13,13,17,25,7,14
"9",14,13,20,10,4,1,9,6,18,5,9,20,2,24,2,11,18,26
"10",24,7,8,23,15,5,12,24,21,11,15,22,4,21,18,22,3,7
"11",7,14,14,27,26,13,14,21,8,23,1,12,26,26,1,19,1,22
"12",17,24,17,24,10,15,3,11,12,9,24,2,6,15,9,4,2,21
"13",1,16,1,14,24,23,19,17,17,6,23,27,9,2,14,14,5,27
"14",2,9,23,21,5,8,20,20,25,21,5,3,10,16,15,8,23,15
"15",5,11,7,7,12,12,1,15,15,24,25,15,1,11,26,12,26,3
"16",22,19,10,3,14,25,8,25,16,19,4,4,7,5,5,18,17,13
"17",21,12,6,25,20,11,24,4,7,14,7,19,11,4,23,3,19,20
"18",27,5,26,13,11,9,16,1,14,10,27,11,27,1,8,26,21,12
"19",13,17,19,22,22,2,5,22,3,3,21,9,16,6,19,15,22,9
"20",26,2,24,19,16,26,6,18,13,27,11,18,21,12,21,10,10,24
"21",12,23,3,11,1,14,7,27,27,13,12,16,20,9,13,27,27,23
"22",23,18,5,4,2,3,18,5,11,26,20,7,19,19,16,13,6,17
"23",11,4,4,17,25,21,4,3,23,22,17,10,12,22,7,5,15,11
"24",20,10,18,26,3,22,25,13,24,16,22,17,18,8,3,17,9,6
"25",16,27,25,2,21,10,10,14,26,18,26,26,14,23,24,20,14,18
"26",8,3,16,8,18,4,23,12,1,17,16,6,5,10,11,23,13,25
"27",15,6,11,6,17,18,21,23,10,7,19,25,22,17,4,7,24,16
