"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",14,16,12,19,11,1,4,2
"2",5,7,11,6,12,20,16,19
"3",11,13,18,18,20,13,11,18
"4",12,6,19,9,7,17,5,7
"5",10,20,4,8,3,10,2,20
"6",18,19,17,7,14,7,12,8
"7",6,3,16,2,2,2,9,12
"8",8,9,1,20,6,6,15,9
"9",19,8,10,14,5,8,7,17
"10",2,4,8,17,13,12,3,10
"11",13,15,9,4,8,11,17,11
"12",17,11,6,16,1,19,19,6
"13",9,2,15,13,16,9,18,4
"14",16,10,14,1,17,16,1,14
"15",4,12,7,5,19,5,6,5
"16",15,5,5,10,18,3,14,15
"17",1,18,20,15,9,4,20,16
"18",7,17,3,12,15,18,8,13
"19",3,14,13,11,4,15,13,3
"20",20,1,2,3,10,14,10,1
