"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2,12,14,8,1,15,12,2,12,18,4,14
"2",6,14,8,17,7,13,16,6,18,5,8,4
"3",9,16,2,14,14,11,6,17,16,15,2,16
"4",7,1,16,6,11,17,7,18,8,2,7,5
"5",3,9,11,19,13,16,4,12,1,8,18,19
"6",1,19,6,13,2,4,2,14,11,3,12,10
"7",13,2,7,18,9,5,8,4,6,17,11,15
"8",11,11,5,1,5,20,20,19,9,13,10,20
"9",20,6,19,15,20,19,1,8,17,16,9,9
"10",15,4,4,9,3,14,9,11,14,11,19,3
"11",10,8,20,11,10,6,19,1,15,1,20,17
"12",14,18,1,7,18,18,13,5,2,4,14,13
"13",19,20,12,5,8,1,10,10,20,9,6,18
"14",18,17,13,12,12,12,18,13,7,19,13,1
"15",4,7,3,10,15,2,17,9,5,12,5,7
"16",12,13,15,20,19,3,11,20,13,10,15,6
"17",16,5,17,16,4,10,15,16,3,7,3,12
"18",8,15,18,4,6,9,5,7,4,14,17,8
"19",5,3,9,3,17,8,14,15,19,20,16,11
"20",17,10,10,2,16,7,3,3,10,6,1,2
