"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",20,21,5,7,16,20,19,5,24,23,18,4,2,23,7,11
"2",21,14,7,8,13,5,21,24,9,3,12,18,25,2,25,10
"3",2,12,28,12,14,7,8,18,28,10,28,1,28,28,13,1
"4",8,4,26,21,6,1,18,16,2,5,17,24,3,16,6,13
"5",3,18,10,19,10,2,22,8,13,20,26,8,14,19,27,23
"6",7,27,2,14,22,11,28,14,20,17,16,20,26,6,5,25
"7",11,16,25,4,12,13,6,28,3,27,19,9,17,4,8,22
"8",22,3,18,13,7,23,27,3,7,11,10,6,20,26,12,24
"9",9,5,11,18,17,15,9,11,25,4,8,5,9,3,23,19
"10",28,13,6,15,11,27,13,26,26,14,1,27,13,14,1,21
"11",24,11,8,6,24,16,5,15,6,8,24,22,5,21,19,26
"12",25,17,3,22,27,10,16,7,1,9,5,10,15,10,11,3
"13",14,25,22,10,20,6,2,4,11,2,2,16,11,20,2,16
"14",26,26,21,20,19,22,11,20,4,18,21,3,24,15,24,15
"15",6,23,13,16,18,14,25,23,5,26,7,26,10,24,16,5
"16",16,10,27,24,15,19,20,6,16,28,3,23,27,12,21,28
"17",4,20,23,5,25,25,23,17,23,7,9,12,19,13,20,12
"18",15,9,19,25,23,17,24,25,14,12,27,7,7,7,3,8
"19",13,1,1,11,9,26,1,19,12,22,15,11,6,11,22,2
"20",23,19,24,26,8,12,7,13,21,16,11,19,8,25,28,7
"21",10,28,4,27,1,21,17,27,18,1,23,15,16,27,18,18
"22",5,8,9,1,3,18,10,12,8,19,4,14,23,18,4,9
"23",19,6,12,23,26,3,3,22,22,24,13,13,22,22,10,20
"24",17,24,16,2,4,4,15,21,17,15,6,2,4,9,15,27
"25",1,15,17,28,28,28,12,2,10,21,14,21,1,1,14,17
"26",27,7,20,9,2,9,26,10,27,25,22,17,12,8,17,14
"27",18,22,14,17,5,24,4,9,15,6,25,25,21,5,9,6
"28",12,2,15,3,21,8,14,1,19,13,20,28,18,17,26,4
