"","V1","V2","V3","V4","V5"
"1",2,8,11,6,23
"2",27,7,19,22,2
"3",13,24,27,26,7
"4",6,12,17,1,12
"5",3,6,28,16,18
"6",17,9,25,12,9
"7",9,17,24,5,1
"8",1,21,14,21,10
"9",5,16,21,25,27
"10",18,11,1,9,28
"11",24,2,13,14,26
"12",8,25,18,11,20
"13",11,22,6,18,25
"14",20,20,20,15,14
"15",21,5,5,3,8
"16",12,1,22,8,13
"17",7,3,8,19,6
"18",19,28,10,23,17
"19",22,13,23,20,21
"20",25,18,2,28,11
"21",15,14,12,17,4
"22",16,4,16,27,22
"23",26,26,26,2,24
"24",23,23,15,7,5
"25",14,19,9,4,19
"26",4,27,3,13,3
"27",28,15,7,10,16
"28",10,10,4,24,15
