"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",8,8,1,14,3,3,6,15,9
"2",3,4,13,1,9,17,3,18,11
"3",17,3,3,3,17,9,7,11,5
"4",9,15,12,4,2,14,18,13,6
"5",1,12,16,6,5,8,8,10,15
"6",18,18,6,16,1,18,9,6,14
"7",12,17,18,7,14,1,10,17,1
"8",16,7,17,12,11,16,15,9,8
"9",7,9,2,5,13,15,11,4,17
"10",11,1,5,11,7,10,16,16,16
"11",4,5,10,9,18,2,17,7,13
"12",14,10,11,18,12,5,1,12,18
"13",15,13,7,2,8,4,14,1,10
"14",5,16,4,10,10,7,2,8,7
"15",10,14,14,13,16,11,5,2,12
"16",6,2,15,17,6,6,12,3,4
"17",2,11,8,15,15,12,13,14,3
"18",13,6,9,8,4,13,4,5,2
