"","V1","V2","V3","V4"
"1",21,25,1,24
"2",19,9,11,13
"3",3,15,5,27
"4",29,13,7,5
"5",1,10,20,15
"6",8,23,9,12
"7",28,8,25,26
"8",16,20,3,1
"9",2,26,12,3
"10",24,18,10,29
"11",23,6,22,2
"12",17,4,18,28
"13",11,5,8,21
"14",25,24,19,7
"15",15,14,23,17
"16",13,1,16,6
"17",4,3,29,11
"18",7,27,27,30
"19",30,30,15,22
"20",27,21,28,14
"21",5,19,17,19
"22",20,12,30,20
"23",26,2,4,18
"24",22,16,14,10
"25",9,11,13,25
"26",6,7,2,8
"27",10,17,26,4
"28",12,22,21,23
"29",14,28,6,16
"30",18,29,24,9
