"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",6,18,12,17,12,10,16,23,7,3,18,15,18,23,23,23,2
"2",8,7,8,6,20,9,7,20,20,9,14,9,19,6,5,6,7
"3",16,5,6,10,7,17,22,6,8,4,23,3,10,10,12,10,3
"4",24,2,17,24,3,16,12,22,19,24,17,14,7,7,15,17,8
"5",23,16,11,22,21,15,21,21,6,17,5,8,12,18,9,7,23
"6",9,17,19,5,10,12,19,5,23,23,8,22,8,21,11,4,6
"7",15,8,18,23,23,23,10,9,2,8,12,23,24,17,8,19,4
"8",18,19,21,3,18,24,24,16,25,2,13,7,13,5,17,25,15
"9",1,20,14,7,1,25,1,25,14,13,25,25,16,16,10,11,14
"10",12,11,24,15,15,19,2,24,9,18,10,1,1,11,24,2,9
"11",22,10,4,4,11,22,8,12,4,22,20,13,21,25,18,5,16
"12",11,24,10,1,4,11,9,3,3,16,15,11,2,9,7,24,21
"13",21,23,25,12,25,2,15,13,15,14,19,6,4,24,3,12,5
"14",19,25,9,9,22,13,4,8,12,20,2,19,15,3,22,15,1
"15",17,13,7,14,8,18,5,18,21,6,4,18,5,22,2,21,17
"16",7,3,20,2,5,14,14,15,13,10,3,4,25,20,21,14,24
"17",13,12,22,13,9,6,23,19,10,21,21,21,22,4,6,16,22
"18",14,21,1,25,16,8,11,14,18,7,24,24,9,12,20,3,25
"19",2,4,3,8,19,4,18,17,5,15,9,20,6,14,16,20,12
"20",10,6,15,19,17,5,3,7,22,19,22,5,14,19,14,22,18
"21",4,22,5,21,13,20,17,10,16,25,6,2,20,8,4,18,13
"22",5,9,13,16,24,21,20,4,17,11,16,17,3,1,19,9,20
"23",25,1,16,11,14,1,13,1,11,1,7,16,17,13,1,1,19
"24",20,14,2,18,2,7,25,2,24,12,11,10,23,15,25,13,10
"25",3,15,23,20,6,3,6,11,1,5,1,12,11,2,13,8,11
