"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",25,23,15,25,4,32,31,18,11,12,12,16,22,34,31,6,24,31,12,19,10,7,3,28,5,23,15,3,30,9,16,27,4
"2",10,11,34,34,16,26,14,27,17,22,16,12,23,17,34,16,5,2,29,15,22,3,23,10,10,3,32,2,26,29,5,31,15
"3",11,18,3,17,3,15,19,33,2,13,9,34,9,26,16,12,31,14,34,2,2,27,29,20,6,15,16,7,8,27,23,30,22
"4",6,10,23,12,19,20,22,5,3,8,29,24,5,29,11,24,12,24,28,28,27,5,12,31,18,5,17,33,29,12,25,29,7
"5",24,17,22,2,32,23,24,24,14,10,22,4,27,20,23,15,26,29,9,3,30,4,32,5,20,4,4,13,7,13,27,10,26
"6",14,8,21,29,10,25,2,25,29,28,24,25,7,9,19,28,28,30,16,18,3,15,33,32,14,21,34,22,6,23,34,18,3
"7",34,2,18,30,22,19,1,34,1,2,17,7,34,14,13,21,18,17,21,21,19,17,27,25,1,34,19,11,34,4,11,1,24
"8",18,20,31,28,33,27,23,6,6,26,28,13,4,27,29,2,14,6,22,20,6,30,25,15,29,29,20,16,21,18,30,6,32
"9",17,32,19,5,17,9,9,28,34,18,8,22,15,30,22,33,1,9,17,17,1,16,6,3,25,9,25,4,32,11,26,3,25
"10",30,4,29,9,29,16,32,19,7,31,7,31,3,10,17,7,22,3,25,24,16,13,8,7,15,10,8,1,3,21,13,15,13
"11",21,28,26,15,24,28,10,9,21,24,34,28,26,3,9,9,33,18,6,29,14,26,30,23,11,7,29,5,24,6,22,11,12
"12",26,5,12,6,11,29,7,15,10,11,31,21,11,22,7,29,11,5,13,8,8,32,16,26,8,8,2,12,19,31,8,14,30
"13",15,6,10,19,31,21,20,2,23,30,15,5,14,32,21,10,6,21,4,12,34,23,1,34,2,14,7,23,25,24,12,4,14
"14",19,3,1,23,12,30,15,1,27,1,2,19,18,1,18,17,34,34,26,1,18,6,18,6,34,16,22,34,18,17,17,9,33
"15",4,7,33,21,21,4,4,16,20,29,10,8,13,28,1,19,20,26,10,32,7,9,19,16,32,13,6,8,14,3,32,26,23
"16",9,31,5,8,1,22,13,20,32,3,33,10,6,15,25,11,3,22,11,26,20,12,20,22,27,30,11,6,13,19,2,12,6
"17",13,21,25,27,18,17,17,4,25,17,11,32,28,18,10,32,10,28,33,10,17,34,2,12,30,32,3,10,5,8,6,16,1
"18",28,12,7,26,28,5,8,31,24,14,30,30,2,23,28,8,13,19,15,4,24,10,4,11,13,31,30,30,17,2,19,20,21
"19",8,29,2,22,34,12,34,26,13,16,19,14,21,6,12,18,15,23,14,25,9,33,10,30,28,2,33,32,4,32,18,5,20
"20",32,26,17,1,20,13,26,14,18,6,13,1,8,2,20,20,4,32,31,34,15,24,5,18,12,27,31,18,23,28,33,23,31
"21",12,30,28,20,6,31,29,22,22,33,32,18,32,13,24,22,8,10,23,5,23,21,11,19,3,11,13,26,1,5,28,25,28
"22",5,9,14,14,23,2,30,8,12,5,6,23,29,11,32,27,9,13,7,9,5,11,22,9,4,26,27,17,9,20,24,7,11
"23",29,1,4,4,25,6,11,10,15,25,20,15,20,24,26,23,32,11,30,16,21,25,24,27,26,24,1,24,2,10,21,32,5
"24",2,33,9,32,13,18,27,12,19,7,23,6,12,31,5,4,23,7,24,11,12,19,28,2,19,12,28,29,10,7,3,17,10
"25",16,14,8,16,14,8,28,29,9,21,14,27,30,4,8,5,2,8,20,30,29,8,31,29,31,22,5,20,20,15,1,22,29
"26",23,13,30,3,2,7,18,32,4,34,21,9,16,5,2,34,7,27,8,6,13,28,21,14,17,20,21,31,33,16,14,19,9
"27",7,19,13,11,9,34,3,17,16,19,4,3,1,8,30,31,19,16,32,27,33,31,34,8,23,18,12,27,27,1,15,13,18
"28",27,34,16,18,5,11,33,3,28,27,26,17,17,19,15,30,17,1,1,33,31,1,26,1,16,33,18,9,15,33,20,24,16
"29",31,16,27,33,15,10,25,23,31,9,27,33,24,25,33,25,29,12,3,31,11,20,14,21,33,17,9,28,28,25,9,8,17
"30",1,22,6,10,26,33,21,21,33,32,18,29,25,33,4,26,25,25,18,23,25,29,17,4,9,28,26,15,16,22,10,33,27
"31",3,25,20,24,27,24,6,30,5,4,1,20,19,16,6,14,30,4,2,14,28,22,7,13,24,25,10,21,22,34,29,21,8
"32",33,27,24,31,8,3,16,13,8,23,3,26,10,7,27,13,16,20,5,13,32,18,15,33,21,1,23,14,12,14,7,34,34
"33",22,24,11,13,30,1,5,7,30,20,25,11,33,12,14,1,27,33,27,7,4,14,13,17,22,6,14,19,31,26,4,28,19
"34",20,15,32,7,7,14,12,11,26,15,5,2,31,21,3,3,21,15,19,22,26,2,9,24,7,19,24,25,11,30,31,2,2
