"","V1","V2","V3","V4","V5"
"1",2,17,19,12,21
"2",12,2,16,6,23
"3",7,5,23,13,9
"4",8,12,21,3,13
"5",14,6,7,1,7
"6",21,1,20,24,2
"7",19,19,8,23,14
"8",15,24,10,14,25
"9",10,7,13,21,17
"10",11,16,1,19,10
"11",24,22,14,7,11
"12",6,13,5,25,22
"13",16,14,15,18,8
"14",13,21,22,16,18
"15",25,8,25,20,24
"16",23,11,4,15,5
"17",22,15,11,2,20
"18",20,10,18,11,15
"19",9,20,6,10,1
"20",3,25,3,4,16
"21",18,4,2,9,19
"22",1,3,9,17,12
"23",17,18,24,5,4
"24",4,9,12,8,3
"25",5,23,17,22,6
