"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",2,3,13,18,4,3,4,11,14,2,11,15,14,9,3
"2",1,20,9,15,18,2,11,19,6,16,20,11,3,12,10
"3",8,7,4,11,3,9,16,15,7,5,8,18,2,15,16
"4",12,2,2,5,11,19,12,20,13,8,17,14,15,20,8
"5",3,13,6,7,12,18,7,4,16,4,6,8,4,8,13
"6",10,10,1,8,15,1,2,8,5,20,7,1,11,18,1
"7",5,6,14,3,16,12,18,7,17,18,16,13,10,13,19
"8",7,8,8,20,1,16,20,18,20,13,5,3,12,2,9
"9",13,4,10,4,6,4,14,3,4,15,4,9,17,7,14
"10",9,16,15,6,5,17,8,13,3,19,13,17,7,4,7
"11",17,15,7,14,2,14,5,9,12,17,15,7,16,16,15
"12",15,18,11,2,19,15,17,14,10,3,9,6,20,11,2
"13",11,19,18,12,7,5,15,2,19,1,14,4,8,19,11
"14",14,17,3,13,17,6,9,12,18,10,2,16,13,5,20
"15",6,11,16,9,10,7,3,17,9,7,19,5,19,3,18
"16",19,12,5,16,9,10,19,6,2,6,18,12,9,6,4
"17",20,1,12,10,20,11,1,1,11,12,10,20,6,1,12
"18",16,5,19,19,14,20,10,10,1,9,12,2,1,10,17
"19",18,9,20,1,8,8,6,16,15,14,1,10,5,14,5
"20",4,14,17,17,13,13,13,5,8,11,3,19,18,17,6
