"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",14,8,18,2,16,2,14,9,20,18,15,11,2,3
"2",15,10,21,6,23,10,7,20,9,6,17,21,20,10
"3",5,21,3,21,10,7,15,14,10,5,13,10,21,2
"4",17,14,8,11,8,5,4,10,4,8,16,5,4,21
"5",9,19,17,5,5,15,13,6,16,4,10,20,8,20
"6",1,3,6,1,17,17,11,17,5,1,22,12,12,18
"7",19,16,4,16,9,13,9,18,21,19,21,19,9,6
"8",3,18,13,9,19,6,5,19,14,16,5,14,6,13
"9",6,4,22,15,7,11,21,16,23,7,1,8,5,12
"10",4,7,12,13,11,23,1,13,19,23,14,22,22,23
"11",7,23,11,14,21,18,20,1,3,12,18,18,3,5
"12",16,9,7,20,2,22,16,21,12,10,8,16,1,16
"13",8,13,5,3,1,4,22,11,6,20,3,23,14,9
"14",22,5,9,8,6,8,19,4,15,14,20,13,19,14
"15",23,2,16,18,12,1,2,5,8,3,6,17,11,7
"16",12,20,15,19,15,3,23,22,18,11,23,1,16,19
"17",10,6,1,17,22,9,10,3,11,22,11,2,7,17
"18",13,17,2,4,14,20,3,2,22,9,7,9,18,11
"19",20,15,23,23,18,12,12,7,1,15,2,15,23,22
"20",21,22,20,7,13,21,18,15,7,21,12,6,10,15
"21",11,1,14,10,4,14,8,23,2,17,9,7,17,1
"22",2,12,19,22,3,19,6,8,13,13,19,4,13,8
"23",18,11,10,12,20,16,17,12,17,2,4,3,15,4
