"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",28,29,8,21,7,15,20,19,29,14,26,17,4,1
"2",8,11,10,10,22,14,22,20,4,5,17,26,19,8
"3",12,21,25,26,10,17,11,8,21,19,14,25,21,6
"4",11,6,11,24,23,22,3,29,27,17,20,4,16,21
"5",20,7,15,18,26,24,21,5,8,21,6,19,11,4
"6",13,19,18,2,14,7,12,27,9,8,28,5,10,3
"7",9,25,9,9,13,26,9,22,19,22,3,14,6,17
"8",3,15,13,20,15,11,10,3,5,26,24,16,29,22
"9",17,23,19,3,20,21,16,14,28,3,7,20,28,24
"10",14,16,1,23,17,1,28,1,25,1,2,9,20,2
"11",2,3,2,4,8,23,6,16,6,15,9,11,23,5
"12",22,2,26,6,16,12,27,24,26,25,16,15,9,11
"13",29,8,14,1,6,13,1,11,16,28,1,29,17,29
"14",15,17,20,16,9,29,29,25,3,16,11,28,1,25
"15",5,27,24,28,24,10,23,18,10,23,8,8,15,26
"16",24,9,17,27,12,25,25,17,15,6,25,12,24,18
"17",27,20,5,15,28,19,14,26,14,27,12,6,27,10
"18",4,14,21,13,1,27,18,15,24,29,23,1,13,7
"19",23,10,7,11,11,8,17,6,22,12,10,7,14,23
"20",18,26,12,7,4,4,24,9,1,20,19,3,25,16
"21",19,12,28,12,27,3,7,21,20,18,27,18,22,28
"22",10,1,29,14,3,20,13,4,12,4,18,10,5,27
"23",7,5,22,19,5,6,19,28,18,10,5,22,26,14
"24",26,28,23,8,18,28,4,2,11,11,21,23,18,12
"25",6,18,3,5,29,18,26,7,17,13,29,24,8,20
"26",16,4,6,29,19,2,15,13,13,24,22,27,3,13
"27",21,22,4,25,2,9,5,23,7,2,15,21,12,19
"28",1,24,16,17,25,5,2,10,23,7,13,13,2,9
"29",25,13,27,22,21,16,8,12,2,9,4,2,7,15
