"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",7,19,9,9,18,1,6,10
"2",6,17,3,11,7,11,17,2
"3",14,16,11,4,9,15,9,6
"4",10,13,4,15,15,14,1,12
"5",11,5,16,10,11,18,14,13
"6",3,8,8,5,16,16,18,17
"7",19,18,17,12,13,10,4,18
"8",12,10,2,6,5,4,7,16
"9",1,14,15,7,1,9,12,11
"10",9,12,18,3,14,3,16,4
"11",16,6,6,8,2,19,3,3
"12",2,4,5,13,12,5,10,5
"13",5,3,13,2,8,7,2,14
"14",13,7,14,17,17,8,8,1
"15",15,15,7,19,10,6,15,15
"16",18,9,12,14,4,2,19,9
"17",4,11,19,18,6,17,5,7
"18",17,2,1,1,19,12,13,8
"19",8,1,10,16,3,13,11,19
