"","V1","V2","V3"
"1",6,8,4
"2",1,7,6
"3",5,1,9
"4",4,5,3
"5",7,4,7
"6",9,6,10
"7",3,9,8
"8",10,2,5
"9",8,10,2
"10",2,3,1
