"","V1","V2"
"1",21,18
"2",2,5
"3",15,16
"4",22,8
"5",11,14
"6",4,10
"7",7,12
"8",20,2
"9",12,9
"10",13,22
"11",5,3
"12",18,20
"13",9,19
"14",3,21
"15",14,4
"16",8,7
"17",10,1
"18",16,11
"19",17,6
"20",19,13
"21",1,15
"22",6,17
