"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",18,27,16,18,11,25,11,21,4,3,3,28,21,9,13,9,25,5,10
"2",21,13,13,6,20,5,12,19,9,10,28,15,22,8,21,27,2,27,23
"3",7,18,28,3,4,9,7,14,15,12,12,19,29,3,19,3,16,4,3
"4",13,1,2,15,27,1,1,29,8,17,6,16,7,16,18,2,29,15,17
"5",25,5,10,23,22,11,9,27,16,5,13,3,26,21,28,17,14,10,8
"6",16,21,6,9,24,8,25,6,17,4,17,10,6,6,10,25,22,7,13
"7",1,11,1,28,29,15,16,1,28,14,29,29,20,13,14,29,17,13,1
"8",23,15,4,21,3,17,2,23,11,29,21,13,16,2,5,21,23,23,5
"9",20,29,5,12,1,19,27,16,29,13,16,1,25,28,17,1,3,20,15
"10",15,28,27,2,25,13,21,26,1,26,20,24,10,11,26,18,12,21,11
"11",14,7,26,19,15,3,13,2,23,27,9,6,23,5,9,10,5,22,12
"12",4,22,20,8,26,24,8,24,18,22,26,11,24,24,11,11,20,17,19
"13",28,16,19,22,28,18,20,10,19,1,1,20,11,1,22,7,8,16,20
"14",2,19,9,11,8,14,5,7,2,25,4,7,19,15,24,20,7,8,21
"15",10,10,8,7,9,12,22,25,24,6,8,22,17,17,4,8,18,25,22
"16",9,23,12,29,18,4,28,18,14,23,2,21,14,26,6,16,1,11,4
"17",8,20,11,24,23,22,15,15,3,21,14,2,1,7,2,4,15,29,28
"18",3,9,24,25,5,26,26,28,10,8,18,12,9,10,16,14,4,9,26
"19",27,24,22,26,10,10,23,3,7,18,10,17,28,22,15,23,21,28,18
"20",17,12,18,27,6,7,17,17,26,24,27,9,8,20,25,6,24,2,14
"21",26,2,15,4,7,28,18,20,20,19,5,8,3,12,12,24,11,18,2
"22",19,17,25,17,21,16,4,22,25,15,11,25,4,23,8,26,6,3,25
"23",11,3,14,16,13,21,29,13,22,20,22,23,27,4,27,22,27,12,24
"24",12,25,7,20,12,27,6,5,21,11,24,18,5,19,23,13,9,26,7
"25",5,14,29,13,17,23,19,12,12,9,7,5,12,25,29,28,26,24,9
"26",24,8,3,5,16,29,14,4,13,28,15,26,13,29,20,12,19,1,27
"27",22,4,23,10,19,20,24,8,5,16,25,14,18,18,3,5,10,6,6
"28",29,26,21,1,14,2,3,11,27,7,19,4,15,14,1,15,28,14,29
"29",6,6,17,14,2,6,10,9,6,2,23,27,2,27,7,19,13,19,16
