"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",12,28,15,9,28,22,25,8,24
"2",26,12,18,4,24,24,16,22,4
"3",29,29,5,28,19,15,14,13,1
"4",24,9,1,5,21,4,29,6,16
"5",21,6,16,22,12,14,26,16,11
"6",3,18,20,1,27,6,3,12,10
"7",7,14,25,14,2,16,27,5,2
"8",18,19,9,8,8,3,22,15,5
"9",1,7,14,12,9,1,15,1,29
"10",8,27,17,23,4,5,12,21,21
"11",10,15,13,7,18,13,13,27,14
"12",6,11,8,27,25,11,23,18,26
"13",28,21,24,15,15,7,24,28,23
"14",14,10,21,29,7,21,1,29,6
"15",23,2,10,16,26,19,11,3,9
"16",13,23,28,20,22,9,18,10,7
"17",20,25,22,3,13,12,8,4,27
"18",9,8,23,17,20,25,7,14,25
"19",15,5,6,2,5,26,17,11,22
"20",11,3,3,11,14,8,5,23,3
"21",16,16,19,26,17,29,21,2,17
"22",4,1,27,6,10,18,20,19,18
"23",5,20,4,24,11,23,9,7,13
"24",25,24,29,10,3,28,6,17,12
"25",17,22,7,13,23,17,2,20,20
"26",19,4,26,25,29,2,10,25,15
"27",27,13,12,19,6,10,4,9,19
"28",22,17,2,21,1,20,19,26,28
"29",2,26,11,18,16,27,28,24,8
