"","V1","V2","V3","V4","V5","V6","V7"
"1",9,1,4,3,14,17,21
"2",4,6,18,10,17,12,18
"3",2,13,8,11,13,4,3
"4",17,15,3,22,7,13,4
"5",21,5,12,4,3,14,2
"6",23,8,5,18,19,5,23
"7",8,23,13,23,22,3,16
"8",11,7,2,8,9,2,10
"9",5,9,9,20,1,19,12
"10",20,3,23,21,12,9,13
"11",19,14,7,7,23,20,17
"12",13,21,6,12,4,11,14
"13",3,18,1,15,20,15,9
"14",15,4,10,13,18,23,7
"15",1,12,22,1,6,22,15
"16",7,2,16,16,5,7,6
"17",10,20,19,19,15,21,1
"18",18,17,20,14,2,1,20
"19",16,16,15,2,16,6,11
"20",6,19,11,6,8,8,22
"21",22,22,17,9,10,18,8
"22",14,11,14,17,11,16,19
"23",12,10,21,5,21,10,5
