"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,10,22,21,8,17,13,6,13,21
"2",2,2,21,12,20,12,19,21,21,3
"3",7,4,7,5,5,21,15,14,22,16
"4",13,7,16,8,12,10,24,16,11,22
"5",9,6,4,23,24,9,4,24,15,14
"6",6,8,12,4,13,19,3,1,7,1
"7",18,23,23,6,23,8,16,5,8,15
"8",4,24,11,7,10,1,7,19,14,12
"9",16,9,2,2,15,2,18,8,17,8
"10",1,17,1,10,2,7,2,10,2,19
"11",11,13,10,13,19,4,11,2,24,23
"12",21,11,13,19,3,6,20,20,18,18
"13",20,5,20,15,6,3,5,12,10,6
"14",22,12,5,9,22,18,12,17,12,5
"15",15,3,14,18,21,24,8,9,5,17
"16",23,1,9,24,9,13,23,3,1,10
"17",10,18,18,11,1,23,22,4,16,7
"18",12,14,19,3,4,14,10,22,4,9
"19",17,16,24,20,14,20,1,18,23,11
"20",14,22,6,17,7,11,9,7,20,2
"21",19,21,3,14,11,22,17,23,6,24
"22",8,19,15,22,16,5,14,15,3,4
"23",5,15,8,16,17,15,21,11,9,13
"24",24,20,17,1,18,16,6,13,19,20
