"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",6,14,15,8,6,14,7,5,10,1,11,5
"2",15,4,17,11,16,1,8,8,5,7,14,7
"3",1,8,1,3,12,15,12,7,13,12,15,9
"4",11,16,13,12,15,16,13,16,11,9,8,14
"5",5,1,9,6,2,5,10,14,14,6,12,13
"6",12,15,7,2,11,9,1,1,3,5,13,12
"7",9,9,16,1,8,3,2,17,17,11,1,6
"8",10,3,8,15,13,11,11,4,15,4,3,3
"9",17,7,12,4,5,12,16,12,6,3,4,10
"10",3,10,4,14,14,4,3,11,9,2,7,11
"11",8,13,2,16,4,8,14,13,4,8,17,4
"12",4,5,14,17,9,6,17,2,7,13,10,17
"13",14,2,3,7,10,13,4,15,8,14,9,2
"14",16,11,10,13,7,10,6,10,16,17,16,16
"15",13,12,6,9,1,2,15,3,12,15,6,8
"16",2,17,11,5,17,7,9,9,1,16,5,1
"17",7,6,5,10,3,17,5,6,2,10,2,15
