"","V1","V2","V3","V4","V5","V6","V7"
"1",21,15,23,25,20,20,20
"2",17,11,16,6,16,25,3
"3",23,22,25,16,13,6,4
"4",14,18,2,20,15,16,7
"5",13,5,15,24,5,8,1
"6",10,1,12,15,14,21,24
"7",11,14,9,2,1,4,6
"8",3,10,10,23,12,15,18
"9",1,4,3,12,19,5,15
"10",7,23,14,22,21,1,11
"11",6,25,5,7,10,12,2
"12",15,2,24,3,22,14,10
"13",16,24,17,13,2,13,19
"14",25,13,11,9,24,9,25
"15",4,19,19,1,17,7,22
"16",9,12,22,19,9,10,14
"17",5,7,18,17,25,18,5
"18",8,8,1,5,4,19,21
"19",22,20,13,4,8,17,13
"20",20,9,8,14,18,11,9
"21",12,21,7,10,23,23,16
"22",24,3,6,21,3,24,12
"23",2,16,21,11,6,22,8
"24",19,6,20,8,11,2,17
"25",18,17,4,18,7,3,23
