"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",16,8,6,2,11,24,22,16,21,15,21,11,16,21,15,24,13,22,11,23
"2",12,4,14,15,4,9,15,23,2,19,20,21,17,18,4,4,14,6,19,18
"3",15,22,18,4,13,19,4,4,9,8,23,6,7,11,6,1,15,17,21,17
"4",5,14,22,6,10,15,23,19,5,12,8,24,4,23,1,12,21,16,13,5
"5",4,17,5,21,16,21,17,6,16,9,14,23,18,8,18,6,20,8,14,19
"6",20,7,3,7,2,11,16,11,15,1,10,9,5,7,8,3,16,3,9,3
"7",18,10,23,20,17,2,21,10,18,13,17,4,9,17,2,7,2,11,2,14
"8",19,6,21,5,22,14,3,20,19,2,15,20,20,5,17,13,7,14,18,13
"9",21,1,13,18,3,16,24,12,11,10,2,2,23,14,20,21,19,13,23,11
"10",13,9,10,23,24,22,6,22,14,21,1,18,8,13,12,8,18,18,1,2
"11",14,18,4,1,9,8,7,8,3,7,4,16,22,22,14,5,5,12,3,10
"12",24,21,11,8,21,5,2,18,7,14,11,8,15,16,21,10,22,4,7,21
"13",6,19,20,10,8,23,14,21,17,17,5,5,21,10,9,17,10,2,4,15
"14",23,23,17,22,6,12,18,2,12,24,12,19,2,20,16,14,9,23,8,16
"15",22,16,7,19,7,20,1,15,6,16,18,15,10,3,7,18,4,7,16,6
"16",2,13,9,9,23,7,19,9,8,22,22,3,24,1,11,9,11,24,17,9
"17",7,2,19,3,12,3,12,7,10,20,16,17,11,4,22,23,17,9,5,7
"18",3,12,15,16,5,1,5,1,24,4,19,10,19,15,10,15,23,15,10,4
"19",9,15,16,17,1,4,11,17,20,11,3,12,6,2,23,2,6,20,15,20
"20",1,11,24,24,18,10,9,14,1,6,13,13,1,12,13,22,12,1,24,24
"21",17,20,2,12,15,6,10,13,23,23,7,22,13,9,3,20,24,21,22,12
"22",10,3,12,13,20,18,20,5,4,3,6,14,14,6,5,16,1,19,6,22
"23",11,24,1,14,19,13,13,24,13,5,24,1,12,24,24,19,8,10,12,1
"24",8,5,8,11,14,17,8,3,22,18,9,7,3,19,19,11,3,5,20,8
