"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",10,2,5,8,14,18,2,15,8,14,17,9,18,4,8,12,15,18
"2",6,5,8,10,1,2,17,10,15,8,3,5,8,13,5,5,17,19
"3",14,13,7,3,11,12,15,4,13,12,2,16,12,3,4,15,3,14
"4",2,4,13,4,7,7,3,11,2,15,5,7,6,8,16,17,5,12
"5",19,12,10,5,19,5,19,12,12,19,15,19,1,9,13,10,18,7
"6",13,11,2,19,15,6,1,19,19,1,1,10,10,11,12,1,9,13
"7",1,8,12,1,12,14,7,16,16,4,16,2,11,18,7,9,2,8
"8",3,15,3,12,10,4,6,7,7,6,12,18,4,19,9,16,13,15
"9",17,9,15,7,5,1,8,1,9,5,13,13,17,10,18,6,4,17
"10",7,14,17,9,9,19,11,13,17,3,6,14,13,6,14,18,16,3
"11",18,1,18,17,13,10,5,3,11,10,11,8,9,14,1,19,19,5
"12",4,6,19,14,18,3,13,18,3,11,9,17,15,5,3,8,8,9
"13",12,10,16,16,3,15,18,6,5,2,19,6,2,7,6,14,10,11
"14",8,17,14,18,16,13,12,9,10,18,4,1,16,16,19,11,11,16
"15",11,3,4,15,8,17,14,8,18,13,14,15,5,15,17,7,6,6
"16",9,7,6,2,17,11,10,2,6,7,8,4,3,2,15,3,12,2
"17",16,16,9,6,4,16,9,17,4,16,7,12,7,17,2,2,14,10
"18",5,18,11,13,2,8,4,5,14,17,18,11,14,1,10,4,7,4
"19",15,19,1,11,6,9,16,14,1,9,10,3,19,12,11,13,1,1
