"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",5,28,2,23,13,12,18,20,13,17,16,19,18,28,5,3,24,11,4,25,6
"2",19,11,7,17,19,14,5,8,17,5,14,3,24,25,2,27,12,28,28,15,3
"3",17,18,24,4,22,7,11,18,3,22,21,23,25,22,3,16,25,17,22,7,16
"4",24,5,23,21,7,6,25,15,23,9,24,11,21,13,28,9,22,19,17,18,4
"5",13,9,18,26,12,27,17,4,11,16,11,14,7,21,25,6,28,27,27,6,20
"6",18,1,1,8,28,1,6,14,15,14,27,5,17,18,20,4,1,12,9,5,22
"7",12,2,26,19,25,17,23,13,26,13,4,25,13,23,15,17,6,5,26,27,11
"8",7,23,21,14,24,21,27,12,20,15,22,7,14,2,6,21,20,25,2,8,24
"9",9,4,10,18,14,2,22,26,6,3,17,26,28,6,19,14,9,26,5,9,15
"10",28,17,14,28,15,18,12,16,27,10,1,28,1,15,1,1,10,18,8,10,25
"11",20,25,19,20,5,15,2,23,5,12,20,9,9,7,8,5,4,3,24,12,14
"12",6,20,9,16,9,4,9,25,25,20,5,2,12,20,27,24,23,2,14,13,18
"13",21,22,13,9,16,25,4,5,28,11,18,16,26,9,24,18,27,7,7,26,12
"14",8,26,17,5,26,5,8,1,16,7,9,24,10,10,16,2,18,24,18,19,8
"15",16,10,22,2,11,3,16,10,24,27,12,17,8,5,9,26,2,10,6,11,5
"16",3,6,25,11,10,19,10,6,10,21,6,4,23,8,7,8,8,20,11,24,17
"17",14,27,15,1,8,20,28,17,2,2,10,12,20,26,22,28,7,15,15,21,23
"18",4,7,20,27,17,26,3,21,14,26,25,22,19,12,17,25,13,6,19,16,28
"19",22,14,27,13,1,13,1,24,19,28,13,21,5,24,21,12,16,23,3,23,21
"20",10,8,5,7,2,16,20,7,7,6,26,20,3,16,4,19,21,4,12,17,19
"21",25,3,12,12,18,8,15,22,12,4,7,8,6,1,11,20,26,13,21,28,27
"22",15,24,6,15,6,9,26,3,18,25,2,18,27,11,12,10,15,9,25,3,26
"23",1,16,11,10,4,28,13,28,22,8,28,15,15,27,10,15,5,21,20,1,7
"24",2,21,28,24,23,11,14,9,1,1,15,6,4,14,23,13,14,8,13,2,1
"25",27,19,8,25,21,10,24,2,9,24,23,13,11,19,14,23,3,22,10,22,13
"26",26,13,16,3,27,24,19,27,8,18,3,10,22,17,13,11,17,1,1,14,2
"27",23,12,3,22,3,22,7,11,4,19,8,27,16,3,18,22,19,16,16,4,9
"28",11,15,4,6,20,23,21,19,21,23,19,1,2,4,26,7,11,14,23,20,10
