"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",20,23,11,4,8,29,28,17,11,26,22,9,6,22,7,10,13,10,26,11
"2",13,22,2,24,30,2,9,8,10,12,18,15,19,21,10,25,11,4,2,1
"3",14,1,21,12,24,16,16,19,25,18,21,25,24,27,9,7,3,3,30,27
"4",29,17,19,15,21,28,22,29,8,2,16,30,17,16,20,20,1,29,25,2
"5",2,25,20,19,6,7,23,5,28,24,12,17,29,29,18,16,10,25,20,12
"6",24,24,14,1,7,15,13,2,1,17,13,18,16,7,24,27,29,7,29,29
"7",15,7,27,6,9,8,27,22,9,5,5,14,25,18,26,23,8,6,12,19
"8",23,10,16,11,14,6,3,3,12,15,28,20,10,25,30,2,4,23,8,9
"9",10,13,28,2,23,12,11,16,16,11,9,7,2,26,16,30,26,26,24,7
"10",16,4,17,29,2,30,14,6,27,3,20,2,9,20,13,22,30,21,13,21
"11",30,8,13,5,25,1,4,13,21,1,17,16,30,3,2,15,20,15,23,18
"12",6,19,26,20,19,25,5,12,23,28,27,13,11,15,27,26,6,12,22,24
"13",17,30,5,23,22,11,25,7,18,6,10,24,5,13,28,6,14,19,28,22
"14",28,15,24,26,11,3,20,15,15,21,3,1,4,1,15,13,2,13,1,30
"15",19,9,4,17,10,9,7,21,30,22,25,27,3,12,19,18,23,5,19,3
"16",8,21,30,30,15,5,30,30,24,16,15,29,15,14,3,1,28,11,11,13
"17",26,18,3,13,18,26,17,11,29,9,1,10,27,24,21,5,27,9,6,16
"18",27,14,6,22,4,17,26,24,20,14,29,12,18,30,1,29,18,30,15,26
"19",4,3,7,9,16,21,21,4,19,13,8,5,13,8,4,19,5,8,18,5
"20",22,27,18,28,26,22,2,25,17,20,7,3,23,19,29,14,19,2,17,10
"21",1,26,15,16,13,20,6,20,7,7,6,26,7,28,6,21,21,14,5,23
"22",5,6,8,14,29,4,18,28,5,27,14,8,12,23,23,9,22,18,16,28
"23",21,20,9,7,27,14,15,26,26,29,2,22,8,6,11,24,9,24,10,14
"24",9,12,22,18,28,24,29,1,2,8,30,19,1,4,14,12,17,1,14,15
"25",3,16,10,27,12,13,8,23,3,10,24,4,26,9,12,4,7,22,27,17
"26",11,29,23,8,5,18,10,27,22,4,23,11,14,2,22,8,15,17,3,4
"27",25,5,29,21,3,19,12,10,4,30,4,23,20,17,8,3,16,16,21,6
"28",7,11,1,3,1,27,1,14,14,19,11,28,22,10,17,11,12,27,9,25
"29",18,28,25,10,20,10,19,9,6,23,26,6,21,11,5,17,24,28,7,20
"30",12,2,12,25,17,23,24,18,13,25,19,21,28,5,25,28,25,20,4,8
