"","V1","V2","V3","V4","V5","V6"
"1",8,10,25,18,13,26
"2",22,6,15,16,22,1
"3",5,27,10,8,18,12
"4",13,11,22,7,26,5
"5",6,21,20,13,23,21
"6",18,9,7,12,6,8
"7",27,12,2,24,12,11
"8",25,7,18,4,17,16
"9",24,26,17,23,27,25
"10",7,3,4,2,10,3
"11",4,18,19,25,7,2
"12",15,1,1,10,21,23
"13",20,2,21,21,3,13
"14",14,25,23,3,8,19
"15",21,20,5,6,15,27
"16",2,13,14,5,2,24
"17",19,17,12,1,24,10
"18",3,8,6,20,25,18
"19",9,23,3,17,1,15
"20",26,22,27,9,4,6
"21",1,4,24,14,16,9
"22",11,14,16,11,11,14
"23",10,19,8,22,20,7
"24",12,5,11,27,5,22
"25",23,16,9,15,9,20
"26",16,24,13,19,14,4
"27",17,15,26,26,19,17
