"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",15,15,1,23,26,1,2,8,2,15,18,26,19,10,15,15,16,26,13,1
"2",24,8,14,5,6,11,3,6,16,20,19,9,10,20,18,11,22,2,4,6
"3",20,11,6,26,18,24,23,7,21,3,11,17,16,19,21,18,4,8,10,13
"4",3,13,25,13,16,20,25,1,17,14,23,2,15,7,12,19,25,21,2,19
"5",22,20,16,11,14,5,21,16,15,4,22,23,3,2,23,17,18,17,23,8
"6",1,26,12,15,13,14,1,26,1,1,13,13,21,14,26,26,26,1,17,14
"7",21,7,9,12,11,17,4,23,8,17,21,19,18,3,3,8,3,16,11,22
"8",14,5,11,7,9,6,15,2,6,8,10,3,2,15,19,20,2,23,15,25
"9",26,25,2,25,2,13,20,15,14,21,12,5,4,12,6,25,14,15,7,21
"10",7,4,15,22,25,10,16,13,25,9,17,10,25,1,25,10,12,11,3,23
"11",4,6,5,21,15,8,8,17,11,5,5,21,9,21,11,3,20,22,6,15
"12",12,18,3,2,21,21,7,19,18,11,25,11,1,22,1,14,19,7,16,26
"13",19,16,20,10,22,9,9,20,13,6,4,6,20,9,8,21,5,5,5,4
"14",17,1,26,1,1,15,13,10,12,2,26,25,17,13,14,1,11,6,26,18
"15",13,17,24,19,10,2,18,22,20,25,1,18,12,11,20,7,23,4,12,24
"16",9,2,10,18,17,16,14,4,19,18,8,20,8,5,4,23,15,3,22,3
"17",23,24,21,17,20,3,6,3,24,12,14,12,11,18,5,6,7,20,25,17
"18",11,14,22,8,3,19,10,21,26,16,15,22,7,26,24,24,9,25,8,12
"19",18,22,8,6,5,18,19,11,23,10,6,14,24,6,9,4,24,24,14,7
"20",6,21,19,4,12,7,24,5,5,19,7,24,22,23,2,13,13,10,9,16
"21",2,19,17,24,8,22,5,9,10,13,2,4,5,4,17,9,8,9,18,11
"22",10,12,4,3,23,12,26,25,9,22,9,8,13,8,22,5,10,19,24,10
"23",8,23,13,9,19,26,17,14,3,26,20,16,6,16,13,2,1,13,1,2
"24",25,9,18,14,24,23,12,12,7,23,3,15,26,25,16,22,21,18,21,20
"25",16,3,23,20,7,25,22,24,4,7,16,7,14,24,7,12,17,14,19,5
"26",5,10,7,16,4,4,11,18,22,24,24,1,23,17,10,16,6,12,20,9
