"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,11,18,4,14,8,17,14,9,17,12,8,15
"2",11,2,19,9,4,3,5,10,7,13,18,17,19
"3",5,10,8,13,1,5,1,19,1,4,14,9,6
"4",18,17,5,18,8,6,13,15,5,8,9,12,18
"5",2,5,9,14,17,12,11,8,2,12,4,16,14
"6",7,19,10,1,12,1,9,18,16,14,7,19,7
"7",16,16,16,7,13,7,3,4,3,10,2,6,8
"8",14,13,2,15,15,9,4,9,14,19,11,15,3
"9",17,12,13,5,2,11,12,6,17,5,13,18,13
"10",6,15,17,11,5,17,15,12,11,7,3,14,4
"11",9,9,4,12,7,4,18,7,18,15,1,2,12
"12",10,4,15,19,18,2,16,3,12,2,10,11,9
"13",19,1,11,10,16,13,19,16,19,9,19,7,2
"14",1,3,3,2,6,10,7,5,10,6,8,5,1
"15",8,18,1,8,19,15,10,11,6,1,15,1,11
"16",12,6,6,6,11,18,2,13,15,3,5,10,16
"17",4,14,12,17,10,19,6,1,13,11,16,3,17
"18",13,8,7,3,9,16,14,2,4,16,17,13,5
"19",15,7,14,16,3,14,8,17,8,18,6,4,10
