"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"1",1,18,20,1,10,4,9,20,10,10,3,1,6,7,6,10,11,20,6
"2",4,10,10,3,4,6,4,1,17,11,10,14,13,3,20,12,2,8,20
"3",8,5,16,18,13,3,16,3,12,8,2,6,14,17,16,4,14,10,15
"4",19,2,9,7,18,10,12,9,18,9,9,3,19,5,3,19,15,15,14
"5",18,7,18,16,3,8,15,8,4,2,6,13,8,4,11,13,18,5,5
"6",5,19,5,14,15,9,20,4,2,12,13,16,1,11,12,14,13,18,17
"7",7,4,14,11,6,7,7,14,5,16,14,4,5,16,5,17,6,4,16
"8",6,16,8,2,5,17,18,10,13,5,18,7,15,12,8,16,17,2,8
"9",10,1,1,12,9,20,1,7,16,1,12,5,7,14,19,11,9,16,4
"10",9,12,2,6,17,11,3,18,6,3,4,17,12,15,1,8,16,6,13
"11",15,20,11,20,19,5,8,17,20,4,19,11,9,20,13,15,4,12,10
"12",11,15,7,9,1,1,10,6,14,17,8,15,3,19,4,3,20,13,7
"13",3,8,13,15,16,16,14,13,15,7,16,18,4,8,2,5,5,9,3
"14",14,11,19,5,8,19,13,12,3,6,11,12,20,18,9,2,3,19,18
"15",12,14,4,17,11,13,17,15,19,19,7,2,10,1,10,6,8,1,19
"16",17,13,17,8,20,18,6,5,9,13,17,8,2,2,17,7,12,3,12
"17",13,17,15,13,14,14,2,2,7,20,5,9,17,9,7,18,1,11,2
"18",2,6,3,19,7,12,5,16,8,14,15,10,18,6,14,1,19,14,9
"19",20,9,12,10,2,15,19,19,11,15,1,19,11,13,18,20,7,17,11
"20",16,3,6,4,12,2,11,11,1,18,20,20,16,10,15,9,10,7,1
