"","V1","V2","V3","V4"
"1",4,5,4,1
"2",3,6,3,1
"3",4,3,3,2
"4",2,4,1,1
"5",2,3,2,3
"6",3,4,4,4
"7",1,6,1,5
"8",3,2,1,2
"9",6,6,2,2
"10",2,1,3,6
"11",3,5,2,6
"12",3,1,5,5
"13",4,4,2,5
"14",1,2,2,4
"15",4,6,5,3
"16",1,1,4,2
"17",1,4,5,6
"18",2,6,6,4
"19",6,3,1,6
"20",6,2,5,1
"21",5,6,4,6
"22",5,3,5,4
"23",6,4,3,4
"24",5,5,1,3
"25",1,3,6,1
"26",6,1,4,3
"27",3,2,6,3
"28",2,3,4,5
"29",5,1,2,1
"30",2,5,5,2
"31",5,4,6,2
"32",4,2,6,6
"33",4,1,1,4
"34",5,2,3,5
"35",6,5,6,5
"36",1,5,3,3
