"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",17,18,18,5,1,4,14,13,11,6,13,10,12
"2",4,11,4,12,2,11,3,11,6,4,11,14,2
"3",9,9,11,15,16,2,2,8,13,8,12,6,15
"4",5,8,13,3,5,8,7,16,16,2,5,5,8
"5",11,5,17,4,13,6,5,7,2,11,8,15,5
"6",18,1,7,9,18,1,9,18,7,18,9,4,1
"7",8,16,9,2,9,16,6,17,4,13,14,11,16
"8",10,3,2,7,3,12,12,6,17,15,10,8,17
"9",14,17,8,10,15,14,8,4,15,3,7,16,10
"10",1,6,3,1,17,17,18,10,12,9,1,12,9
"11",7,15,16,14,14,13,13,12,10,14,4,7,3
"12",15,13,1,18,11,10,4,14,18,10,18,1,6
"13",16,10,14,13,4,18,1,2,1,17,2,9,11
"14",3,14,5,8,10,5,11,5,3,7,3,2,13
"15",12,4,12,11,8,15,16,9,5,5,15,3,7
"16",6,12,10,6,7,3,17,3,14,16,16,18,4
"17",13,7,6,16,6,7,15,15,8,12,6,17,14
"18",2,2,15,17,12,9,10,1,9,1,17,13,18
