"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",5,2,3,12,2,7,12,6
"2",2,13,9,18,15,8,18,2
"3",11,17,6,14,14,2,4,7
"4",16,14,8,8,1,6,2,15
"5",10,5,7,6,10,9,17,12
"6",3,3,13,3,13,1,9,14
"7",14,1,15,17,8,10,5,17
"8",4,6,18,13,18,15,1,11
"9",9,11,5,16,4,17,10,13
"10",15,12,14,7,16,12,11,8
"11",7,8,10,2,5,13,3,5
"12",8,10,16,10,9,5,8,3
"13",6,16,11,11,11,14,14,16
"14",1,15,1,5,7,11,6,10
"15",18,7,12,15,6,3,15,9
"16",13,18,17,4,3,18,16,4
"17",17,4,4,9,12,16,7,1
"18",12,9,2,1,17,4,13,18
