"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",20,20,12,10,6,19,24,8,12,8,16,25,18,22,4,6,3,7,6,5,3,16,16
"2",13,11,7,25,3,8,21,14,19,9,2,2,2,2,12,15,12,2,12,24,1,15,5
"3",15,25,17,5,4,10,7,11,3,24,18,19,5,7,13,19,24,3,14,7,21,23,19
"4",7,21,15,15,16,26,1,18,11,1,1,14,17,1,2,18,15,25,11,10,26,13,26
"5",26,1,8,16,18,6,23,10,8,18,22,15,7,25,24,8,16,13,10,14,25,20,1
"6",24,6,10,11,1,18,11,7,2,2,24,13,26,6,10,14,10,21,2,19,15,2,11
"7",18,14,16,20,19,7,2,26,1,15,26,1,1,16,1,13,1,12,26,6,13,10,13
"8",12,4,1,9,14,1,6,1,25,16,10,20,14,15,8,12,25,23,8,8,2,8,3
"9",5,22,21,8,13,11,20,23,9,5,17,21,4,12,22,16,7,18,21,17,4,3,2
"10",23,23,5,7,22,22,8,16,16,13,8,3,9,11,19,21,6,17,4,2,19,18,6
"11",8,2,13,21,10,5,14,5,13,25,7,26,19,10,26,20,2,20,20,25,18,17,15
"12",14,12,6,1,20,16,19,17,4,23,4,17,25,17,16,2,9,24,25,11,5,19,18
"13",6,17,4,24,24,9,12,12,22,6,20,23,24,20,20,17,22,10,1,12,17,11,21
"14",19,19,26,26,12,23,25,13,15,19,25,16,12,18,17,26,26,26,13,26,12,4,12
"15",10,16,2,17,11,20,9,21,20,20,23,22,13,4,6,5,8,9,22,18,23,25,8
"16",21,5,19,12,5,12,16,22,21,10,3,18,21,24,14,24,19,15,23,3,24,9,9
"17",2,15,25,3,25,4,18,9,14,12,21,9,20,3,5,11,18,19,17,1,9,22,10
"18",9,26,14,4,26,13,26,25,26,26,9,6,15,26,11,9,13,11,9,22,16,1,14
"19",25,24,18,23,15,25,13,4,23,7,6,12,6,13,9,7,21,14,24,20,7,21,20
"20",17,3,3,6,9,24,4,24,10,11,19,7,22,14,21,10,17,4,18,23,11,14,24
"21",22,10,23,14,23,3,17,20,7,21,11,24,10,8,7,23,14,6,3,21,8,12,23
"22",1,7,9,2,17,17,15,3,18,14,14,11,3,19,3,25,5,1,16,16,22,6,22
"23",3,8,11,22,7,14,3,19,17,22,15,10,8,5,23,3,20,16,5,4,6,5,17
"24",4,18,22,19,8,15,5,2,6,17,5,8,23,21,15,22,11,8,7,15,10,24,4
"25",11,9,20,18,21,21,22,6,5,4,12,4,16,9,18,4,23,5,19,9,20,7,7
"26",16,13,24,13,2,2,10,15,24,3,13,5,11,23,25,1,4,22,15,13,14,26,25
