"","V1","V2","V3"
"1",26,7,6
"2",9,8,26
"3",12,12,11
"4",25,21,25
"5",18,23,5
"6",11,1,16
"7",2,10,4
"8",10,16,7
"9",3,3,23
"10",4,26,9
"11",23,24,13
"12",19,5,19
"13",13,25,22
"14",7,13,1
"15",17,9,14
"16",8,22,18
"17",22,2,2
"18",21,11,21
"19",14,20,3
"20",24,14,17
"21",1,19,15
"22",16,15,24
"23",20,18,10
"24",6,6,12
"25",5,17,20
"26",15,4,8
