"","V1","V2","V3","V4","V5","V6"
"1",19,21,16,15,16,14
"2",1,4,15,10,5,7
"3",25,3,6,2,17,2
"4",17,18,14,1,8,22
"5",16,10,23,7,2,3
"6",4,7,26,16,9,16
"7",10,14,24,11,18,21
"8",26,23,20,21,4,20
"9",18,8,4,22,13,9
"10",14,26,7,9,12,17
"11",21,25,25,25,26,5
"12",9,22,8,18,7,1
"13",12,19,1,12,23,6
"14",22,13,2,5,6,15
"15",6,12,13,20,15,4
"16",15,2,21,19,20,11
"17",20,6,12,8,22,19
"18",13,5,17,24,11,24
"19",2,17,5,23,21,18
"20",23,11,9,17,24,25
"21",11,15,11,26,3,12
"22",24,16,19,13,10,8
"23",7,1,3,14,1,23
"24",5,24,10,6,19,10
"25",3,20,22,4,14,26
"26",8,9,18,3,25,13
