"","V1","V2","V3","V4","V5","V6","V7"
"1",24,12,7,21,20,21,4
"2",9,13,1,22,24,7,26
"3",13,11,21,12,9,4,23
"4",22,4,13,7,8,23,25
"5",7,24,4,8,13,9,5
"6",3,9,6,24,5,12,20
"7",6,2,22,19,2,25,6
"8",12,21,14,26,23,24,14
"9",1,3,17,10,21,5,12
"10",18,18,5,11,17,26,19
"11",26,14,26,9,6,17,15
"12",14,6,3,17,11,19,13
"13",23,22,2,4,3,1,11
"14",4,25,24,14,26,20,21
"15",21,8,11,13,25,13,8
"16",15,16,23,6,22,11,7
"17",19,5,25,25,16,3,2
"18",10,17,16,15,4,14,3
"19",20,23,20,23,12,16,17
"20",5,15,12,16,14,2,16
"21",17,7,15,2,1,8,18
"22",2,19,10,1,10,18,1
"23",11,1,8,5,19,15,22
"24",8,10,19,3,15,22,10
"25",25,20,18,18,18,10,24
"26",16,26,9,20,7,6,9
