"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",7,25,6,14,3,23,16,1,9,6,25
"2",9,11,25,8,5,14,22,17,5,20,21
"3",14,16,17,2,19,4,2,23,8,14,26
"4",24,12,26,15,23,16,7,24,18,7,9
"5",4,18,1,22,20,15,26,26,1,24,3
"6",19,19,2,11,8,12,8,11,24,15,23
"7",16,15,15,17,14,13,14,9,6,4,4
"8",11,8,12,23,18,17,20,4,17,13,22
"9",15,14,7,3,24,22,24,8,22,19,13
"10",3,7,4,4,12,21,10,18,14,11,2
"11",25,10,3,1,10,7,19,3,3,1,11
"12",13,9,16,13,1,26,11,22,26,26,5
"13",10,26,22,5,13,11,4,2,19,21,6
"14",2,13,11,16,7,3,6,5,12,23,14
"15",26,23,14,7,21,19,13,14,13,25,20
"16",1,1,24,26,26,1,12,10,23,3,24
"17",22,3,9,24,4,18,3,13,7,18,7
"18",12,24,8,21,25,9,9,19,4,10,15
"19",17,2,13,6,6,10,25,25,15,5,16
"20",21,5,5,18,15,5,15,20,20,22,19
"21",18,20,23,25,11,24,18,21,11,17,12
"22",5,4,19,12,22,8,17,12,10,16,10
"23",23,22,20,19,2,6,23,7,16,12,1
"24",20,6,21,10,17,25,5,6,2,9,18
"25",8,21,10,9,16,2,21,16,25,8,8
"26",6,17,18,20,9,20,1,15,21,2,17
