"","V1","V2","V3","V4","V5"
"1",8,10,26,18,7
"2",12,6,14,3,20
"3",4,16,3,1,24
"4",2,24,13,15,1
"5",23,25,25,23,21
"6",17,15,12,19,22
"7",16,23,1,8,6
"8",14,2,6,20,9
"9",6,20,9,24,18
"10",25,17,18,21,4
"11",10,18,20,11,10
"12",5,4,10,12,5
"13",19,19,5,14,13
"14",26,5,2,16,19
"15",1,14,24,9,16
"16",11,12,4,25,3
"17",3,8,15,22,12
"18",18,7,23,4,2
"19",13,22,22,17,25
"20",20,3,21,26,14
"21",15,11,17,13,17
"22",24,13,11,6,11
"23",22,9,8,10,26
"24",7,1,19,7,23
"25",9,26,7,5,15
"26",21,21,16,2,8
