"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",1,11,24,14,12,2,24,11,2,12,24,17,2,2,2,2,17,11,24,15,13,3,11,15
"2",22,5,5,18,18,22,7,12,8,16,17,11,5,3,23,8,4,20,21,11,21,10,23,22
"3",26,12,16,2,14,26,1,15,13,11,13,26,14,14,1,24,13,15,1,25,2,1,26,16
"4",14,1,26,13,26,3,14,14,25,1,14,1,26,15,18,14,1,12,2,14,15,11,1,26
"5",2,16,12,10,25,11,15,16,11,10,1,15,24,11,25,16,26,14,17,1,25,2,24,2
"6",18,20,6,9,8,5,18,7,4,5,7,16,8,17,5,21,6,4,9,4,16,16,22,23
"7",15,3,17,20,10,8,12,25,1,25,3,24,16,18,13,18,24,25,20,23,18,13,12,25
"8",5,7,4,6,19,23,21,19,17,7,20,20,10,20,22,22,20,6,18,18,12,19,7,20
"9",21,19,22,17,22,18,20,5,5,3,18,3,17,19,9,11,23,19,19,19,6,17,21,7
"10",6,8,19,8,9,12,9,6,9,6,5,10,4,5,21,17,9,22,7,22,5,22,8,6
"11",10,4,1,25,24,13,25,3,16,24,15,25,3,16,11,12,12,17,3,2,9,12,15,3
"12",19,22,21,7,13,21,22,8,23,18,6,23,19,7,20,4,19,18,5,8,20,18,10,19
"13",16,21,9,5,20,4,6,9,20,22,22,7,7,12,6,20,22,23,10,17,23,7,6,11
"14",11,2,8,3,2,16,2,2,24,13,2,2,13,13,12,1,25,2,25,13,11,15,17,14
"15",17,9,11,21,7,20,23,21,21,8,8,8,18,8,7,23,7,21,22,5,10,5,5,10
"16",4,17,3,11,17,9,17,24,19,23,10,6,20,4,4,7,11,16,14,20,3,23,20,24
"17",12,13,25,1,1,14,26,26,15,14,26,12,11,26,14,13,3,26,13,10,26,26,25,12
"18",24,6,10,22,6,7,10,18,18,4,23,19,21,6,10,10,18,8,6,16,22,21,19,5
"19",8,18,23,23,5,17,11,20,10,21,19,4,9,9,19,19,21,5,4,6,7,8,18,21
"20",13,25,14,15,11,25,16,1,14,26,25,14,25,1,16,26,2,1,16,26,14,14,13,1
"21",25,26,13,26,15,1,13,13,26,15,9,13,1,25,26,25,16,13,26,12,1,25,14,13
"22",7,23,20,19,21,19,8,22,22,9,4,18,6,21,8,5,5,7,11,21,19,9,16,9
"23",20,15,18,4,23,6,5,23,7,20,16,21,15,10,15,9,8,3,23,3,8,20,4,8
"24",9,24,7,16,4,10,3,10,12,2,21,22,23,22,17,6,10,24,15,9,4,6,9,18
"25",3,10,15,24,16,24,4,4,6,17,12,9,22,24,3,15,15,9,12,7,24,24,2,17
"26",23,14,2,12,3,15,19,17,3,19,11,5,12,23,24,3,14,10,8,24,17,4,3,4
