"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",17,6,4,4,22,10,9,26,25,11,8,11,8,17,3,18,6,10,8,27
"2",10,23,7,21,21,28,12,6,24,9,19,8,23,18,21,26,24,27,7,18
"3",28,8,16,23,27,24,25,20,10,5,2,15,19,12,13,20,28,6,3,11
"4",15,16,12,1,15,20,16,9,14,29,5,2,29,28,4,28,17,1,28,15
"5",5,9,26,6,25,5,6,22,11,27,27,14,16,15,18,21,27,24,23,19
"6",1,29,1,18,11,17,29,12,16,14,22,16,17,2,2,12,29,11,20,29
"7",3,10,14,5,7,23,20,2,26,3,26,22,6,13,9,22,11,18,17,7
"8",29,17,29,17,14,1,17,1,21,20,1,29,18,14,29,24,12,15,13,28
"9",22,21,11,7,17,7,23,24,27,24,15,23,26,7,8,5,21,25,9,10
"10",6,28,2,9,28,13,18,14,1,18,6,27,12,27,15,16,14,21,2,3
"11",7,27,25,24,9,15,7,27,28,13,10,21,27,20,17,19,10,7,25,8
"12",26,5,3,11,6,16,11,28,6,19,24,7,22,4,23,25,16,13,14,5
"13",20,26,24,3,20,19,10,3,4,10,9,12,7,9,26,6,22,12,21,9
"14",27,22,17,15,26,2,4,11,17,7,23,6,21,26,6,11,2,17,18,6
"15",2,18,15,19,12,21,5,21,18,26,3,5,2,6,24,13,1,19,4,13
"16",13,1,28,20,18,29,14,29,15,16,20,28,1,29,5,1,23,14,15,14
"17",11,4,6,22,2,6,13,5,8,15,4,13,20,11,10,3,5,26,24,12
"18",14,24,27,8,1,12,15,18,19,4,29,1,15,10,14,2,13,2,1,21
"19",19,3,23,2,10,18,28,13,12,12,21,19,28,23,25,14,3,28,5,17
"20",23,20,10,26,8,9,8,4,7,25,25,20,5,24,12,17,20,8,6,20
"21",25,13,8,10,4,22,3,17,20,6,7,25,13,22,19,8,26,20,27,23
"22",8,11,19,12,24,25,2,7,5,21,16,24,25,5,11,9,9,5,11,25
"23",18,15,5,28,23,26,19,16,22,28,28,17,14,16,28,4,7,9,22,2
"24",24,2,18,25,29,14,22,8,29,17,17,3,4,3,16,15,15,22,29,22
"25",9,7,20,14,5,3,27,10,23,22,11,9,9,21,20,10,25,4,10,4
"26",21,25,21,16,3,27,24,23,3,23,13,10,10,19,7,23,8,23,19,24
"27",12,19,9,13,19,4,26,19,9,8,18,26,3,8,22,27,4,3,26,16
"28",16,14,22,29,13,11,1,15,13,1,12,18,11,1,1,29,19,29,12,1
"29",4,12,13,27,16,8,21,25,2,2,14,4,24,25,27,7,18,16,16,26
