"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",4,17,1,6,18,6,9,4,9,13,13
"2",9,13,5,4,4,19,3,10,5,7,17
"3",2,4,12,11,6,10,2,6,2,14,2
"4",7,10,6,10,13,1,16,19,4,19,7
"5",5,15,15,18,2,5,8,15,7,5,8
"6",6,14,9,1,16,13,14,13,16,8,1
"7",14,2,2,8,3,8,17,12,10,3,4
"8",19,9,11,12,19,9,1,18,13,6,14
"9",16,6,17,2,8,4,13,14,3,11,15
"10",18,8,10,3,1,15,10,2,14,18,9
"11",15,12,4,17,9,3,4,3,15,10,3
"12",11,16,13,13,5,7,19,9,19,16,16
"13",10,7,16,16,17,18,18,5,6,9,6
"14",3,5,3,15,7,17,11,17,17,12,12
"15",17,18,7,14,12,14,12,7,1,1,11
"16",12,1,8,19,15,12,7,11,8,17,19
"17",13,19,18,7,11,16,5,16,11,15,5
"18",1,11,19,9,10,11,15,1,12,4,18
"19",8,3,14,5,14,2,6,8,18,2,10
