"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",7,18,26,26,23,30,21,12,14,18,23,19,29,2,10,14,27,27
"2",2,16,14,17,16,17,2,15,22,1,30,29,3,13,9,30,2,21
"3",15,26,5,21,28,12,11,6,7,24,7,26,24,18,5,21,9,24
"4",21,27,29,11,4,21,9,7,25,10,12,20,6,16,2,17,28,9
"5",3,22,16,24,26,5,19,10,26,6,2,9,14,23,24,25,21,12
"6",29,30,18,29,9,3,29,24,28,14,17,23,18,8,14,19,6,18
"7",5,19,19,2,3,11,22,9,10,25,19,22,5,21,29,11,7,10
"8",4,10,28,7,13,23,12,28,30,23,14,11,28,17,23,24,10,22
"9",27,7,7,10,22,20,25,8,24,2,6,17,22,12,30,12,14,25
"10",12,8,22,6,7,2,7,3,6,4,24,13,17,9,17,20,22,28
"11",26,23,8,23,5,27,5,21,9,16,21,15,9,27,28,26,16,26
"12",1,1,15,15,15,19,30,1,1,19,13,14,16,30,1,1,18,20
"13",16,15,30,13,30,10,26,20,18,12,11,1,1,29,18,16,3,30
"14",8,9,1,28,18,8,10,27,5,11,9,21,4,15,22,9,29,17
"15",13,14,2,4,8,25,27,16,19,15,8,27,26,25,16,27,26,4
"16",19,21,13,12,1,15,17,30,16,30,1,30,15,5,19,2,20,29
"17",25,4,25,1,20,4,14,17,13,21,3,18,8,3,4,28,13,14
"18",30,13,12,30,24,22,16,2,11,29,15,7,2,10,15,23,19,1
"19",14,2,21,19,29,18,3,19,27,20,18,25,12,7,27,6,23,6
"20",10,29,3,5,19,26,13,4,20,13,22,4,11,4,20,4,8,16
"21",23,11,4,18,10,6,23,14,29,22,27,8,7,19,7,8,24,23
"22",28,20,17,3,25,14,4,23,12,5,16,6,27,22,6,5,25,19
"23",18,28,23,16,17,16,28,18,4,26,29,3,21,14,26,29,30,13
"24",22,17,10,14,11,7,1,13,2,17,10,10,30,1,25,15,1,5
"25",6,3,6,22,2,13,18,22,17,8,20,2,23,6,3,22,15,8
"26",20,5,11,8,27,29,20,29,3,9,26,24,13,20,13,18,5,11
"27",9,25,9,9,21,1,8,25,23,28,25,16,20,28,11,13,17,2
"28",11,24,24,20,12,24,24,26,8,3,5,12,10,11,8,7,11,3
"29",17,6,20,27,6,28,6,11,21,27,4,5,19,24,12,10,4,15
"30",24,12,27,25,14,9,15,5,15,7,28,28,25,26,21,3,12,7
