"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",4,14,9,22,27,15,26,17,10,4,27,16,23,5
"2",11,24,19,24,23,5,19,11,2,27,20,21,17,20
"3",28,28,14,17,28,13,2,13,23,21,15,15,2,4
"4",25,9,11,5,20,11,24,4,14,23,11,27,22,22
"5",24,16,22,21,3,24,10,27,9,24,6,17,21,17
"6",17,3,3,8,25,21,9,19,7,20,23,24,8,16
"7",21,22,2,28,2,16,16,2,21,16,26,13,14,25
"8",18,26,10,19,9,9,12,16,11,1,4,26,7,27
"9",23,10,5,25,12,18,5,10,4,7,13,2,26,12
"10",27,19,23,15,10,1,27,6,8,10,22,5,9,14
"11",16,8,17,23,24,25,20,8,24,9,3,7,4,18
"12",2,21,24,27,19,20,7,23,20,11,12,28,10,13
"13",8,13,26,11,11,17,17,1,6,18,5,23,1,6
"14",15,18,18,7,4,7,3,9,18,12,24,25,25,2
"15",13,1,28,16,14,28,28,14,17,13,16,20,28,28
"16",3,15,8,12,8,27,4,7,15,26,19,10,5,23
"17",9,17,4,3,13,4,21,28,22,8,17,18,3,19
"18",10,25,21,4,21,23,11,3,12,2,18,8,20,9
"19",20,23,7,6,17,26,25,22,3,14,8,12,12,1
"20",14,20,1,14,22,8,15,25,16,25,2,6,27,8
"21",5,27,15,9,6,19,22,18,25,19,10,3,24,21
"22",12,4,20,26,5,6,23,21,13,22,14,9,6,3
"23",1,2,13,1,1,12,14,12,1,6,1,14,15,15
"24",19,11,27,2,15,14,13,15,28,28,28,1,11,11
"25",22,12,25,10,26,3,6,20,19,5,9,11,18,24
"26",7,7,16,18,18,10,1,26,5,15,25,4,13,26
"27",6,5,6,20,16,2,8,5,27,17,7,19,19,10
"28",26,6,12,13,7,22,18,24,26,3,21,22,16,7
