"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",11,12,3,11,19,8,2,23,25
"2",25,21,7,7,22,27,11,17,22
"3",18,19,24,27,11,9,3,18,6
"4",5,24,28,8,14,3,19,16,19
"5",28,16,9,2,7,13,23,24,12
"6",23,27,16,15,28,5,16,22,7
"7",20,1,5,9,15,10,20,13,1
"8",16,10,23,3,26,7,27,10,16
"9",14,2,18,18,6,1,12,28,14
"10",24,23,19,19,8,21,25,8,3
"11",13,4,10,20,27,23,5,15,4
"12",9,20,8,22,18,2,22,3,10
"13",22,7,21,10,2,19,4,20,18
"14",1,22,22,17,25,14,6,9,23
"15",21,13,4,28,24,18,18,6,17
"16",4,5,15,26,21,12,24,21,20
"17",12,28,12,12,4,16,28,14,28
"18",27,6,27,13,20,15,10,2,9
"19",26,8,13,23,12,4,8,11,27
"20",8,17,20,4,23,17,13,27,2
"21",6,25,6,24,9,20,9,25,15
"22",7,3,17,5,10,22,17,4,24
"23",3,14,11,6,5,6,7,7,5
"24",10,11,26,25,3,28,15,12,11
"25",17,18,1,16,1,11,14,1,21
"26",2,9,2,14,13,26,26,19,8
"27",15,26,14,1,16,25,1,5,13
"28",19,15,25,21,17,24,21,26,26
