"","V1","V2","V3","V4","V5","V6","V7"
"1",18,16,25,14,25,23,10
"2",23,5,12,22,24,15,20
"3",25,26,19,12,12,4,17
"4",17,9,20,4,9,18,1
"5",11,21,21,26,18,19,19
"6",10,12,2,11,26,12,3
"7",22,2,24,2,16,11,14
"8",8,4,18,15,5,17,26
"9",7,25,11,17,15,22,2
"10",19,10,4,16,17,2,24
"11",14,3,5,24,11,24,9
"12",1,1,10,13,13,8,7
"13",13,7,22,19,20,3,5
"14",6,13,26,21,10,10,22
"15",4,19,8,23,22,5,13
"16",12,6,7,7,2,6,18
"17",24,20,6,6,19,16,6
"18",26,11,14,18,1,21,12
"19",21,15,16,25,6,7,4
"20",2,14,3,3,14,20,21
"21",20,18,9,10,7,25,23
"22",15,23,15,5,23,9,25
"23",3,22,23,9,3,14,8
"24",5,8,17,8,21,26,16
"25",16,24,1,20,4,13,15
"26",9,17,13,1,8,1,11
