"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",14,4,19,2,17,4,13,8,17,18,15,11,2,2
"2",16,10,23,6,22,11,8,21,10,8,17,23,20,9
"3",7,23,9,23,4,6,12,15,9,5,13,12,23,1
"4",17,14,7,12,7,5,6,11,1,7,16,5,1,23
"5",9,17,18,4,3,13,10,6,21,2,10,20,9,20
"6",4,5,3,3,16,16,15,17,6,4,21,10,12,19
"7",21,16,2,16,10,12,4,18,22,19,20,16,10,6
"8",1,21,11,9,20,7,2,19,13,14,5,15,4,17
"9",5,8,22,15,11,9,23,14,23,6,1,9,6,10
"10",6,1,13,13,13,22,7,13,19,21,14,18,22,22
"11",10,19,12,14,19,18,21,4,3,9,19,19,5,5
"12",15,6,6,21,5,19,16,20,15,11,7,22,3,15
"13",3,13,5,7,9,3,18,10,5,20,6,21,16,7
"14",19,7,10,8,2,8,22,2,14,15,22,14,19,16
"15",23,3,15,17,14,1,3,5,7,3,8,17,13,12
"16",12,18,16,18,15,2,19,23,18,12,18,2,17,18
"17",8,9,1,19,23,10,11,1,11,23,11,1,8,14
"18",13,20,4,1,12,17,5,3,16,10,2,7,21,11
"19",18,15,21,22,18,15,14,9,4,17,3,13,18,21
"20",22,22,17,5,8,21,20,16,8,22,12,8,7,13
"21",11,2,14,10,1,14,9,22,2,16,4,3,11,4
"22",2,11,20,20,6,20,1,7,12,13,23,6,14,8
"23",20,12,8,11,21,23,17,12,20,1,9,4,15,3
