"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",24,3,9,3,17,17,12,10,17,8,3,13,8,3,25,3,19,9,17,23,3,11,25,19
"2",15,13,16,2,2,18,16,16,9,16,17,19,3,2,2,18,18,25,26,2,4,26,3,13
"3",27,1,13,14,1,2,15,1,1,15,1,27,14,26,14,13,14,26,2,15,14,2,14,2
"4",5,6,21,23,8,11,10,23,5,20,21,7,7,20,24,20,23,22,19,17,13,8,21,21
"5",6,19,22,7,22,4,9,7,6,11,24,21,6,8,7,7,16,7,8,8,20,6,12,22
"6",19,11,14,22,24,5,4,12,24,6,9,11,4,21,4,24,7,21,7,5,6,17,20,17
"7",16,26,27,15,14,14,27,14,12,26,13,10,26,1,11,26,13,14,1,13,1,1,27,27
"8",23,5,19,19,6,16,7,18,20,21,19,16,20,12,10,6,24,5,4,3,23,21,24,9
"9",26,16,26,16,11,26,3,26,16,14,10,25,2,11,18,17,4,16,11,24,24,12,5,26
"10",21,20,18,20,19,7,8,6,8,22,18,4,17,6,19,5,6,19,20,22,7,23,10,5
"11",25,21,11,21,13,13,25,3,10,2,12,2,5,16,15,19,26,3,24,6,25,9,11,11
"12",2,12,12,12,15,10,1,27,13,1,27,26,16,13,13,15,1,2,27,14,2,14,26,3
"13",10,10,3,17,9,3,11,21,26,24,4,3,15,4,9,12,10,10,25,11,19,3,4,18
"14",22,8,5,5,20,22,20,20,4,17,22,5,18,23,17,16,8,4,6,9,8,16,7,23
"15",11,4,23,26,25,21,23,19,3,9,2,17,13,9,8,25,11,6,18,20,17,22,13,7
"16",14,27,15,1,12,1,14,15,27,18,26,14,12,27,27,27,12,1,14,27,26,27,15,14
"17",13,25,2,27,10,15,2,17,2,4,16,15,25,25,3,2,17,13,13,25,10,10,2,15
"18",9,7,6,18,16,9,17,4,23,3,20,24,23,5,16,22,25,18,9,18,15,25,8,24
"19",18,23,7,25,18,25,22,22,25,12,25,18,11,7,23,10,15,24,12,4,12,4,17,4
"20",17,9,25,4,7,24,18,5,22,5,23,8,22,18,5,11,5,17,21,21,18,5,18,12
"21",8,17,24,8,4,6,24,24,21,7,8,6,10,17,20,8,20,12,5,16,5,19,6,6
"22",1,2,17,13,26,12,26,13,14,13,14,12,27,15,26,1,2,27,15,1,27,13,1,16
"23",3,14,1,11,27,27,13,11,15,27,15,1,1,14,1,14,27,15,3,26,16,15,16,1
"24",7,24,4,6,5,19,5,9,7,10,5,9,19,10,21,21,9,23,10,10,21,20,23,10
"25",4,18,10,24,3,20,19,2,18,25,11,20,9,22,12,4,3,8,16,12,11,24,19,25
"26",12,15,20,10,21,23,6,8,19,23,6,23,24,24,22,23,22,11,22,7,9,7,9,8
"27",20,22,8,9,23,8,21,25,11,19,7,22,21,19,6,9,21,20,23,19,22,18,22,20
