"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",13,22,2,25,8,21,17,11,10,27,15,13,26,27,9,5,23,11,4,18,3
"2",11,14,7,16,17,8,2,2,22,8,14,2,28,21,1,28,13,27,22,16,11
"3",24,17,24,7,20,7,12,24,5,21,20,23,22,19,4,10,25,17,21,5,9
"4",22,5,21,24,2,5,27,16,23,6,27,6,20,13,17,7,17,18,13,22,7
"5",27,2,15,12,12,26,21,3,15,12,13,16,8,28,18,2,27,26,28,9,18
"6",17,6,5,6,24,13,6,12,20,17,22,9,19,23,21,6,7,6,8,3,26
"7",15,8,26,20,23,17,22,13,27,16,8,25,13,26,6,16,2,7,25,27,8
"8",14,26,25,18,25,16,24,8,16,9,19,8,12,3,7,22,24,20,5,4,25
"9",7,11,13,21,21,9,20,22,9,10,12,27,27,5,25,4,3,24,6,10,14
"10",25,20,4,26,18,23,10,17,24,3,5,22,4,12,3,8,10,16,12,11,23
"11",20,25,14,17,7,11,5,21,8,13,23,3,7,4,8,3,5,5,27,19,15
"12",6,19,20,22,11,4,9,23,25,20,7,4,9,25,23,19,26,10,11,8,17
"13",23,18,16,10,13,22,8,4,26,11,21,26,23,6,24,20,22,4,7,24,13
"14",2,27,18,1,27,10,4,9,14,5,2,19,11,18,19,1,18,14,14,21,5
"15",26,4,17,2,15,3,16,10,18,26,10,11,6,7,10,27,4,13,3,12,4
"16",5,9,22,8,10,24,11,6,4,19,6,5,18,9,5,9,9,22,10,25,19
"17",19,21,23,3,5,20,19,20,11,4,9,10,25,22,26,25,6,15,20,17,24
"18",3,3,19,27,26,25,7,18,13,25,26,17,24,11,13,26,16,12,26,14,21
"19",16,13,28,14,1,14,1,26,17,28,16,28,1,17,15,14,14,28,1,20,28
"20",4,10,8,5,6,12,25,15,6,7,24,24,5,24,2,23,19,9,9,13,16
"21",12,1,1,11,16,1,14,28,12,1,11,14,16,1,11,15,28,8,17,28,27
"22",9,24,11,13,3,6,26,5,19,24,4,21,21,10,14,11,12,3,23,6,22
"23",1,28,12,9,9,27,15,27,28,14,28,15,15,15,12,17,1,25,15,1,2
"24",10,12,27,28,14,15,13,1,2,2,18,12,2,14,28,13,11,2,18,7,1
"25",21,23,9,23,19,2,18,7,3,22,25,18,10,20,20,21,8,23,16,26,20
"26",28,15,10,15,28,28,28,25,1,15,1,1,17,16,16,18,15,1,2,15,12
"27",18,7,6,19,4,18,3,14,7,18,3,20,14,2,22,24,21,21,19,2,6
"28",8,16,3,4,22,19,23,19,21,23,17,7,3,8,27,12,20,19,24,23,10
